"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",51.4242118807461,1.0043715300339,0.103898642660036,0.994192456675583,0.00290799989389993,TRUE,"DTF","Average stability"
"CL2",53.557571627326,1.05759237349248,0.0304328870923488,0.998459230126224,0.000770681912192699,TRUE,"DTF","Average stability"
"CL3",54.0923600917663,0.905927894212498,0.0153393903092728,0.998941083740514,0.000529598366958327,TRUE,"DTF","Average stability"
"Extra",51.4151324230046,1.06808109764704,0.0041257909417473,0.999794926003029,0.000102542255942468,TRUE,"DTF","Average stability"
"L001",55.7902618779059,0.91304238920495,0.617375091420722,0.959691220186756,0.0203616890980857,TRUE,"DTF","Average stability"
"L002",52.7762030400758,0.98252588112156,0.69373802627228,0.960838544308239,0.0197762784403557,TRUE,"DTF","Average stability"
"L003",51.351238101565,1.10012072520488,0.0296486065959508,0.99861253666071,0.000693972468538466,TRUE,"DTF","Average stability"
"L004",51.1674028306891,1.02966973635237,0.0618193881566464,0.996703934098731,0.00164939319959801,TRUE,"DTF","Average stability"
"L005",52.4832294778725,1.1352225843388,0.212403358705569,0.990738965816935,0.0046412878680699,TRUE,"DTF","Average stability"
"L006",54.9832193131002,0.915710878125841,0.561731590095495,0.96339686870041,0.0184721762983943,TRUE,"DTF","Average stability"
"L007",53.9380094553468,0.785794018645051,0.186722558018205,0.983138547492938,0.00846656763730971,TRUE,"DTF","Stable / low-input adapted"
