"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L017",90.6875,26,8.46121302408195,35,8.44203045027831,94,0.166492005424396,94,176.636875,35,0.66160451771505,61,99.289250979916,28,NA,21,98.6733103474475,58,94.5936507951597,61,4.18820927934608,-1353.76014315684,37,0.996401653358849,47,0.20077842355491,57,0.205368513815192,74,0.655520751379038,74,2.4648768772208,63,1.46121777675208,62,0.139617487399526,54,0.00649768092925225,54,2.13515739109628,62,0.206803132508862,73,0.730086595169071,65,0.71086989442162,65,0.0867866975893146,69,0.279745012057259,70,0.186779980738242,59,90.1187343611861,29,1.00363510801326,50,1.00362089776695,50,5.68625000000001,38,3.91999999999999,32,9.16250000000002,53,90.4414471448259,27,0.3333,9.5,152.8958,23,18.4129,30,1.0824,37,24.875,80.5,0.663333333333333,74,0.9351,87,0.2932,81
"L018",NA,50,NA,50,7.51039022039682,65,0.0649231816050539,65,NA,50,0.576642236474377,54,97.6410287746676,68,NA,22,96.8826005276216,80,82.59436245994,54,-1.61427118602818,2672.10141647904,82,0.993898500649025,61,0.204573320531687,58,0.138550821725264,49,0.442225405097972,49,2.15615364125798,54,1.31182155768371,54,0.161253207177594,62,0.00866753227502003,62,1.72087579920372,54,0.151405640058765,52,0.584648231145114,48,0.709055064104614,64,0.0728282197762894,57,0.224630440011504,55,0.211551066901148,65,86.8068877101448,70,0.995283432184482,62,0.995255206378989,62,11.0175,66,7.21999999999999,51,12.91625,69,28.4666719631917,70,5.8333,90.5,613.0625,91,12.5055,22,0.9011,23,19.875,45.5,0.385922330097087,43,0.3515,28,0.0858,23
"L019",NA,51,NA,51,6.85349097254835,49,-0.0145781330915929,49,NA,51,0.433052874751914,45,96.8925425834691,81,NA,23,96.4045135305662,88,62.3151264505198,45,-1.63862332061811,2594.81474533528,63,0.981541728720102,90,0.188969595911673,56,0.0523833318373821,13,0.1672715296159,13,2.00868481323911,50,1.14724104809984,46,0.165872876863887,64,0.00917127042636742,64,1.31616202244522,46,0.0878536949930382,24,0.479760522541182,35,0.601754369478308,49,0.0505271265028295,31,0.14459897657269,25,0.125853967572369,33,85.9135116588701,83,0.984849826235587,80,0.984831103603036,80,15.2708333333333,81,11.28125,69,17.265625,83,28.2366655202536,83,5.8333,90.5,493.7292,84,22.2424,38,1.2727,49,18.375,34,0.258802816901408,21,0.2617,13,0.0749,17
"L020",90.65,28,7.9039834940371,26,7.88636414560532,80,0.107351829490762,80,154.01,25,0.414054769078373,43,98.9150531517563,35,NA,24,98.7631148190402,54,59.6320093723184,43,4.11510239906479,-1315.17421362677,26,0.985831329167375,82,0.143882885436472,45,0.113927749171294,37,0.363660158491695,37,1.95562571415945,47,1.09811886460344,42,0.135150255578123,52,0.00608853052761069,52,1.20586504079796,42,0.124443069098945,39,0.503273934276279,39,0.622833904672865,54,0.0636699405385611,46,0.19559804314644,42,0.176964266326359,53,90.1929345778408,26,1.0042459209627,46,1.00420070828998,46,5.3209375,36,3.78125,30.5,7.75125,45,90.4342729562093,28,2,37.5,116.25,20,49.9506,68,1.6482,64,18.25,32.5,0.561538461538462,65,0.6911,62,0.2215,67
"L021",NA,52,NA,52,7.80951759183403,76,0.0988465918793867,76,NA,52,0.572415574105645,52,95.7185412535313,94,NA,25,95.8504830755488,94,81.9974276823226,52,-1.56684535853375,2584.77307996152,59,0.999867125115631,8,0.160329120706833,51,0.186607282867692,64,0.595655432174275,64,2.05284678684246,52,1.31639068066081,55,0.122873514213305,44,0.00503263349837572,44,1.73288442413064,55,0.186930404912943,63,0.674000836677133,58,0.605349500114961,50,0.0768076849463447,62,0.249487212696112,64,0.213497198721864,66,85.2939385794769,91,0.978026114318056,90,0.977989162926854,90,19.235,91,12.005,71,22.85,91,28.0789495523171,91,7.1667,100.5,441.6667,74,41.4005,59,2.2262,83,14.75,18,0.184952978056426,7,0.2336,8,0.0908,25
"L022",91.9,8,6.45726091379212,8,6.43475818679719,34,-0.0693373610084148,34,105.645,8,1.49948260822517,89,99.125983026769,32,NA,26,102.423903289062,7,212.92781803951,89,4.0007821989193,-1263.08837534566,9,0.992689521148115,68,0.382540353336839,82,0.311595177662852,95,0.994519288004205,95,3.78512312277923,92,2.0850274473635,89,0.184351109138769,73,0.0113284438135648,73,4.34733945625915,89,0.31205552921785,95,1.01446973168132,87,0.812028312305952,73,0.109331901186391,81,0.361887416267518,84,0.345232089482072,96,91.5147541773726,10,1.01847546440032,17,1.0183671766337,17,2.1478125,13,6.125,43.5,0.983125000000009,8,91.756295113863,8,2.3333,50.5,333.3333,57,38.7314,56,1.3569,52,19.5,41,1.77272727272727,100,1.4338,98,0.6756,100
"L023",NA,53,NA,53,5.19411958356001,2,-0.255377934974586,2,NA,53,0.967063593458136,72,98.4984275307336,46,NA,27,100.588952939846,24,137.733871030873,72,-1.77475857415478,2674.67328094748,83,0.996608682433472,43,0.257494984994361,68,0.247485908302476,82,0.789946234561322,82,2.67482587553625,71,1.69395939755348,72,0.152688233452888,61,0.00777123221165451,61,2.86949844055974,72,0.247501189532829,81,0.852231208959404,70,0.686344848936858,61,0.0928762517325745,73,0.306495351434578,74,0.277759912328114,86,87.9112284034879,57,1.00737289629947,36,1.00733130030647,36,6.39541666666667,46,10.58,66.5,4.30312500000001,24,28.7449563371009,58,1.6667,30,704.9167,95,16.095,26,0.9436,27,22.5,61,0.502793296089385,62,0.5109,48,0.0331,5
"L024",91.8125,9.5,5.8235082249477,2,5.80372237995079,13,-0.158988563482207,13,85.7618749999999,2,5.3723655096092,104,96.9772398950128,80,NA,28,102.931055944086,4,759.898049342672,104,3.88687517715306,-1199.1742445431,1,0.89932065023145,104,1.64885837887094,104,0.433873615443888,103,1.38567362112233,103,6.59611116541904,104,3.89031609511757,104,0.427839717086288,104,0.061015607838825,104,15.1345593199308,104,0.439391475174667,103,2.23603105051805,104,2.01935856633875,104,0.218989279766312,104,0.67685422048009,104,0.13386895833408,40,92.1263629587768,6,1.02536730405418,9,1.02524050031225,9,2.765625,17,1.05125,6.5,1.005625,9,91.6932546489553,9,5.5,88,382.9167,68,96.3489,93,1.9728,76,10.75,3,1.1025641025641,93,0.7655,70,0.3045,85
"L025",NA,54,NA,54,5.1985404605428,3,-0.254638966284585,3,NA,54,1.36856495846849,86,98.8181208785941,37,NA,29,102.294098689827,12,194.438217658492,86,-1.79151064843322,2713.26073850298,91,0.97103434799646,96,0.401826189122672,84,0.269388478755678,87,0.859881246411918,87,3.31038786143376,84,2.01381201613381,86,0.204505497823239,82,0.013940832879977,82,4.05543883632494,86,0.273900079703574,87,0.996841800631451,86,1.05375231452182,88,0.122369721962189,90,0.389417719102071,90,0.349973914702621,97,88.534456159763,46,1.01451876636265,21,1.01445891240873,21,4.66750000000001,30,9.03125,59,2.48562500000002,20,28.9036215864094,51,2.6667,55,967.7292,102,20.5293,33,1.075,36,26.875,91,0.711920529801324,77,0.735,67,0.058,12
"L026",90.6743421052632,27,7.9707455635888,27,7.95278104609457,83,0.114636228263082,83,156.706847299169,27,0.135162987046909,15,99.7230410543207,20,NA,30,99.7164389333201,40,20.2439084638741,15,4.12921960851532,-1323.39308682871,30,0.996507334769002,45,0.0464367590170187,12,0.0967276575284887,33,0.308737267355173,33,1.13319875926678,15,0.696113960817769,16,0.0682508989113347,12,0.00155272840073508,12,0.484574646445402,16,0.0979792546382873,28,0.338772409073092,20,0.34255454312877,16,0.0409088115115349,21,0.131364351500605,23,0.0938138240581675,25,90.177052111182,28,1.00407514758338,47,1.00405575255623,47,5.23603704986151,35,4.5,37,7.65957409972301,44,90.4562485885266,26,0.3333,9.5,27.6667,3,23.3228,40,1.1235,38,19,37.5,0.487179487179487,59,0.7977,74,0.2787,78
