"genotype","BLUP","env","trait","model"
"L066",40.086061443193,"Clavet.2024","VegP","GIBD"
"L067",37.9775226608755,"Clavet.2024","VegP","GIBD"
"L068",40.6022342151202,"Clavet.2024","VegP","GIBD"
"L069",38.4729653794658,"Clavet.2024","VegP","GIBD"
"L070",37.6449988449259,"Clavet.2024","VegP","GIBD"
"L071",40.1299882017338,"Clavet.2024","VegP","GIBD"
"L072",37.3972626362448,"Clavet.2024","VegP","GIBD"
"L073",38.0397256089049,"Clavet.2024","VegP","GIBD"
"L074",37.6980599278956,"Clavet.2024","VegP","GIBD"
"L075",37.4917877321461,"Clavet.2024","VegP","GIBD"
"L076",37.4423864367069,"Clavet.2024","VegP","GIBD"
"L077",37.6739694078272,"Clavet.2024","VegP","GIBD"
"L078",37.8953079920817,"Clavet.2024","VegP","GIBD"
"L079",38.4094969097228,"Clavet.2024","VegP","GIBD"
"L080",38.3822329296744,"Clavet.2024","VegP","GIBD"
"L081",38.5243067772334,"Clavet.2024","VegP","GIBD"
"L082",37.4020434065233,"Clavet.2024","VegP","GIBD"
"L083",37.9074431518981,"Clavet.2024","VegP","GIBD"
"L084",38.4296443461844,"Clavet.2024","VegP","GIBD"
"L085",37.4417305509816,"Clavet.2024","VegP","GIBD"
"L086",38.522711834669,"Clavet.2024","VegP","GIBD"
"L087",37.358529520684,"Clavet.2024","VegP","GIBD"
"L088",37.8263610242006,"Clavet.2024","VegP","GIBD"
"L089",38.8063480320667,"Clavet.2024","VegP","GIBD"
"L090",38.5710499679528,"Clavet.2024","VegP","GIBD"
"L091",37.5496375883732,"Clavet.2024","VegP","GIBD"
"L092",37.4474165318675,"Clavet.2024","VegP","GIBD"
"L093",39.6510050375017,"Clavet.2024","VegP","GIBD"
"L094",40.186633464714,"Clavet.2024","VegP","GIBD"
"L095",38.5163481481814,"Clavet.2024","VegP","GIBD"
"L096",38.3870649693518,"Clavet.2024","VegP","GIBD"
"L097",38.6075885292147,"Clavet.2024","VegP","GIBD"
"L098",39.1087404521024,"Clavet.2024","VegP","GIBD"
"L099",37.5451027083402,"Clavet.2024","VegP","GIBD"
"L100",37.7887999106145,"Clavet.2024","VegP","GIBD"
"CL1",30.427281574674,"Hunter.2024","VegP","GIBD"
"CL2",32.3651283091494,"Hunter.2024","VegP","GIBD"
"CL3",33.7235362405001,"Hunter.2024","VegP","GIBD"
"Extra",31.8103193881955,"Hunter.2024","VegP","GIBD"
"L001",36.7292979004965,"Hunter.2024","VegP","GIBD"
"L002",33.5803641795428,"Hunter.2024","VegP","GIBD"
"L003",31.4893093875837,"Hunter.2024","VegP","GIBD"
"L004",31.5108075544225,"Hunter.2024","VegP","GIBD"
"L005",32.1646712329753,"Hunter.2024","VegP","GIBD"
"L006",36.3629909470396,"Hunter.2024","VegP","GIBD"
"L007",35.5691095521393,"Hunter.2024","VegP","GIBD"
"L008",31.745921986205,"Hunter.2024","VegP","GIBD"
"L009",32.2652343427876,"Hunter.2024","VegP","GIBD"
"L010",36.6231192931534,"Hunter.2024","VegP","GIBD"
"L011",36.3690776949412,"Hunter.2024","VegP","GIBD"
"L012",37.164812330424,"Hunter.2024","VegP","GIBD"
"L013",32.3163001503903,"Hunter.2024","VegP","GIBD"
"L014",33.7945011988291,"Hunter.2024","VegP","GIBD"
"L015",31.222184654561,"Hunter.2024","VegP","GIBD"
"L016",32.1329666021192,"Hunter.2024","VegP","GIBD"
"L017",31.6687789939968,"Hunter.2024","VegP","GIBD"
"L018",32.7523266802614,"Hunter.2024","VegP","GIBD"
"L019",34.8100255615678,"Hunter.2024","VegP","GIBD"
"L020",35.2144249339021,"Hunter.2024","VegP","GIBD"
"L021",33.7547233177501,"Hunter.2024","VegP","GIBD"
"L022",34.9588392361483,"Hunter.2024","VegP","GIBD"
"L023",33.0635223318951,"Hunter.2024","VegP","GIBD"
"L024",34.3020917421197,"Hunter.2024","VegP","GIBD"
"L025",33.4072270420862,"Hunter.2024","VegP","GIBD"
"L026",35.7686779951838,"Hunter.2024","VegP","GIBD"
"L027",32.7594984349106,"Hunter.2024","VegP","GIBD"
"L028",33.058424089517,"Hunter.2024","VegP","GIBD"
"L029",34.3381575202482,"Hunter.2024","VegP","GIBD"
"L030",35.8905517511705,"Hunter.2024","VegP","GIBD"
"L031",30.1433482711507,"Hunter.2024","VegP","GIBD"
"L032",32.8533453855409,"Hunter.2024","VegP","GIBD"
"L033",34.4160344507252,"Hunter.2024","VegP","GIBD"
"L034",31.8002176511782,"Hunter.2024","VegP","GIBD"
"L035",32.3237021970697,"Hunter.2024","VegP","GIBD"
"L036",32.8289139638917,"Hunter.2024","VegP","GIBD"
"L037",35.9729098453573,"Hunter.2024","VegP","GIBD"
"L038",33.8188106171814,"Hunter.2024","VegP","GIBD"
"L039",30.3699071365751,"Hunter.2024","VegP","GIBD"
"L040",33.5176528428608,"Hunter.2024","VegP","GIBD"
"L041",33.5094125756579,"Hunter.2024","VegP","GIBD"
"L042",34.5165640187756,"Hunter.2024","VegP","GIBD"
"L043",32.7338418726087,"Hunter.2024","VegP","GIBD"
"L044",36.0232344276901,"Hunter.2024","VegP","GIBD"
"L045",32.1110071536317,"Hunter.2024","VegP","GIBD"
"L046",33.2517469327835,"Hunter.2024","VegP","GIBD"
"L047",32.1696545521388,"Hunter.2024","VegP","GIBD"
"L048",32.4572136864454,"Hunter.2024","VegP","GIBD"
"L049",35.4991441700541,"Hunter.2024","VegP","GIBD"
"L050",30.3742636161323,"Hunter.2024","VegP","GIBD"
"L051",32.8257360223916,"Hunter.2024","VegP","GIBD"
"L052",34.2569857858124,"Hunter.2024","VegP","GIBD"
"L053",33.228561519707,"Hunter.2024","VegP","GIBD"
"L054",33.6670416114382,"Hunter.2024","VegP","GIBD"
"L055",32.4674499838643,"Hunter.2024","VegP","GIBD"
"L056",32.4497946312988,"Hunter.2024","VegP","GIBD"
"L057",33.0964395007497,"Hunter.2024","VegP","GIBD"
"L058",37.1994982411032,"Hunter.2024","VegP","GIBD"
"L059",35.1553850808272,"Hunter.2024","VegP","GIBD"
"L060",29.782722553534,"Hunter.2024","VegP","GIBD"
"L061",33.6738341806116,"Hunter.2024","VegP","GIBD"
"L062",31.7681565198717,"Hunter.2024","VegP","GIBD"
"L063",31.0344593389912,"Hunter.2024","VegP","GIBD"
"L064",31.2078669117918,"Hunter.2024","VegP","GIBD"
"L065",32.4158049474358,"Hunter.2024","VegP","GIBD"
"L066",33.7189067985153,"Hunter.2024","VegP","GIBD"
"L067",31.4338338983921,"Hunter.2024","VegP","GIBD"
"L068",37.0903071609905,"Hunter.2024","VegP","GIBD"
"L069",33.3521078016602,"Hunter.2024","VegP","GIBD"
"L070",32.3724422259528,"Hunter.2024","VegP","GIBD"
"L071",36.2482314241744,"Hunter.2024","VegP","GIBD"
"L072",29.9654493071011,"Hunter.2024","VegP","GIBD"
"L073",29.5552720043311,"Hunter.2024","VegP","GIBD"
"L074",29.2402880735634,"Hunter.2024","VegP","GIBD"
"L075",29.8294829818932,"Hunter.2024","VegP","GIBD"
"L076",29.8461007082683,"Hunter.2024","VegP","GIBD"
"L077",31.7285026027735,"Hunter.2024","VegP","GIBD"
"L078",32.9011102929536,"Hunter.2024","VegP","GIBD"
"L079",32.9576040530563,"Hunter.2024","VegP","GIBD"
"L080",30.5093813835722,"Hunter.2024","VegP","GIBD"
"L081",33.7584794578292,"Hunter.2024","VegP","GIBD"
"L082",29.8628221954817,"Hunter.2024","VegP","GIBD"
"L083",32.0560590114802,"Hunter.2024","VegP","GIBD"
"L084",32.9132974882294,"Hunter.2024","VegP","GIBD"
"L085",31.370323914098,"Hunter.2024","VegP","GIBD"
"L086",32.9094067413395,"Hunter.2024","VegP","GIBD"
"L087",31.7815116669912,"Hunter.2024","VegP","GIBD"
"L088",29.4991022181278,"Hunter.2024","VegP","GIBD"
"L089",33.8206720032224,"Hunter.2024","VegP","GIBD"
"L090",31.026100089857,"Hunter.2024","VegP","GIBD"
"L091",31.3630785833596,"Hunter.2024","VegP","GIBD"
"L092",31.4997908221469,"Hunter.2024","VegP","GIBD"
"L093",34.811206058772,"Hunter.2024","VegP","GIBD"
"L094",35.2843058305948,"Hunter.2024","VegP","GIBD"
"L095",33.2328881901126,"Hunter.2024","VegP","GIBD"
"L096",32.876057065492,"Hunter.2024","VegP","GIBD"
"L097",34.0630496806931,"Hunter.2024","VegP","GIBD"
"L098",33.5115213616149,"Hunter.2024","VegP","GIBD"
"L099",31.8290800881033,"Hunter.2024","VegP","GIBD"
"L100",32.5430992355154,"Hunter.2024","VegP","GIBD"
"CL1",42.4838062255579,"Clavet.2025","VegP","GIBD"
"CL2",45.5038124387417,"Clavet.2025","VegP","GIBD"
"CL3",44.9111359791345,"Clavet.2025","VegP","GIBD"
"Extra",43.0497418981633,"Clavet.2025","VegP","GIBD"
"L001",48.3702794467367,"Clavet.2025","VegP","GIBD"
"L002",44.1880584581715,"Clavet.2025","VegP","GIBD"
"L003",43.1965601272856,"Clavet.2025","VegP","GIBD"
"L004",43.3920657293818,"Clavet.2025","VegP","GIBD"
"L005",44.2399376416472,"Clavet.2025","VegP","GIBD"
"L006",47.0443453678627,"Clavet.2025","VegP","GIBD"
"L007",45.4823249612887,"Clavet.2025","VegP","GIBD"
"L008",43.6902636263636,"Clavet.2025","VegP","GIBD"
"L009",43.7043391685044,"Clavet.2025","VegP","GIBD"
"L010",44.8934554892007,"Clavet.2025","VegP","GIBD"
"L011",47.0435941890552,"Clavet.2025","VegP","GIBD"
"L012",47.1047939683823,"Clavet.2025","VegP","GIBD"
"L013",44.3828317294564,"Clavet.2025","VegP","GIBD"
"L014",45.5161937862216,"Clavet.2025","VegP","GIBD"
"L015",41.2505635082745,"Clavet.2025","VegP","GIBD"
"L016",44.0252219965565,"Clavet.2025","VegP","GIBD"
"L017",44.4052369610499,"Clavet.2025","VegP","GIBD"
"L018",43.7866973697353,"Clavet.2025","VegP","GIBD"
"L019",45.3533448306941,"Clavet.2025","VegP","GIBD"
"L020",47.3494415306241,"Clavet.2025","VegP","GIBD"
"L021",43.4599062046558,"Clavet.2025","VegP","GIBD"
"L022",46.9803976457854,"Clavet.2025","VegP","GIBD"
"L023",44.8420143274231,"Clavet.2025","VegP","GIBD"
"L024",46.4808164489642,"Clavet.2025","VegP","GIBD"
"L025",45.8894188346602,"Clavet.2025","VegP","GIBD"
"L026",47.1196760004083,"Clavet.2025","VegP","GIBD"
"L027",43.4081788139547,"Clavet.2025","VegP","GIBD"
"L028",45.4097891953065,"Clavet.2025","VegP","GIBD"
"L029",44.4614145363302,"Clavet.2025","VegP","GIBD"
"L030",49.0446085912508,"Clavet.2025","VegP","GIBD"
"L031",42.1331603758075,"Clavet.2025","VegP","GIBD"
"L032",44.7590553936187,"Clavet.2025","VegP","GIBD"
"L033",45.546359805142,"Clavet.2025","VegP","GIBD"
"L034",44.3998853972549,"Clavet.2025","VegP","GIBD"
"L035",44.0104242331094,"Clavet.2025","VegP","GIBD"
"L036",43.8648073026382,"Clavet.2025","VegP","GIBD"
"L037",47.2441831875359,"Clavet.2025","VegP","GIBD"
"L038",46.8712649022559,"Clavet.2025","VegP","GIBD"
"L039",41.8221403699472,"Clavet.2025","VegP","GIBD"
"L040",44.8670530612337,"Clavet.2025","VegP","GIBD"
"L041",44.8050586284501,"Clavet.2025","VegP","GIBD"
"L042",46.1068364660561,"Clavet.2025","VegP","GIBD"
"L043",44.0341231402243,"Clavet.2025","VegP","GIBD"
"L044",46.9586057673919,"Clavet.2025","VegP","GIBD"
"L045",43.8740158263656,"Clavet.2025","VegP","GIBD"
"L046",44.2878413454277,"Clavet.2025","VegP","GIBD"
"L047",43.8730024331131,"Clavet.2025","VegP","GIBD"
"L048",43.9872263995058,"Clavet.2025","VegP","GIBD"
"L049",46.6029305719057,"Clavet.2025","VegP","GIBD"
"L050",43.48008195129,"Clavet.2025","VegP","GIBD"
"L051",44.0729972111246,"Clavet.2025","VegP","GIBD"
"L052",45.005487276638,"Clavet.2025","VegP","GIBD"
"L053",44.9184672826006,"Clavet.2025","VegP","GIBD"
"L054",44.184280878327,"Clavet.2025","VegP","GIBD"
"L055",45.4369131392682,"Clavet.2025","VegP","GIBD"
"L056",45.1831298628225,"Clavet.2025","VegP","GIBD"
"L057",43.3323382055466,"Clavet.2025","VegP","GIBD"
"L058",46.8224290361609,"Clavet.2025","VegP","GIBD"
"L059",45.3601901999479,"Clavet.2025","VegP","GIBD"
"L060",40.6224101947213,"Clavet.2025","VegP","GIBD"
"L061",44.8636387672286,"Clavet.2025","VegP","GIBD"
"L062",44.8266911537244,"Clavet.2025","VegP","GIBD"
"L063",43.1986606777788,"Clavet.2025","VegP","GIBD"
"L064",43.7909985393432,"Clavet.2025","VegP","GIBD"
"L065",44.1456508553045,"Clavet.2025","VegP","GIBD"
"L066",44.3821292569711,"Clavet.2025","VegP","GIBD"
"L067",42.1651573598148,"Clavet.2025","VegP","GIBD"
"L068",47.384419175968,"Clavet.2025","VegP","GIBD"
"L069",43.5013217611235,"Clavet.2025","VegP","GIBD"
"L070",41.6754048676749,"Clavet.2025","VegP","GIBD"
"L071",47.267531107366,"Clavet.2025","VegP","GIBD"
"L072",40.9533610229009,"Clavet.2025","VegP","GIBD"
"L073",40.7625145032323,"Clavet.2025","VegP","GIBD"
"L074",40.0912725464096,"Clavet.2025","VegP","GIBD"
"L075",42.3872291063196,"Clavet.2025","VegP","GIBD"
"L076",41.201581840563,"Clavet.2025","VegP","GIBD"
"L077",41.8130141021973,"Clavet.2025","VegP","GIBD"
"L078",43.3673620430309,"Clavet.2025","VegP","GIBD"
"L079",45.9010221355841,"Clavet.2025","VegP","GIBD"
"L080",41.9245710220407,"Clavet.2025","VegP","GIBD"
"L081",44.0932750900183,"Clavet.2025","VegP","GIBD"
"L082",43.0977955755184,"Clavet.2025","VegP","GIBD"
"L083",43.3520200933653,"Clavet.2025","VegP","GIBD"
"L084",44.0868756411078,"Clavet.2025","VegP","GIBD"
"L085",43.3354493227463,"Clavet.2025","VegP","GIBD"
"L086",44.770352948932,"Clavet.2025","VegP","GIBD"
"L087",43.001279795753,"Clavet.2025","VegP","GIBD"
"L088",40.9658652550254,"Clavet.2025","VegP","GIBD"
"L089",44.5303312853799,"Clavet.2025","VegP","GIBD"
"L090",42.994891037295,"Clavet.2025","VegP","GIBD"
"L091",42.731482543546,"Clavet.2025","VegP","GIBD"
"L092",43.8430914554503,"Clavet.2025","VegP","GIBD"
"L093",45.7089457575293,"Clavet.2025","VegP","GIBD"
"L094",46.4970186766019,"Clavet.2025","VegP","GIBD"
"L095",44.1753177214953,"Clavet.2025","VegP","GIBD"
"L096",44.7555054806301,"Clavet.2025","VegP","GIBD"
"L097",44.3428794512232,"Clavet.2025","VegP","GIBD"
"L098",45.2167810696347,"Clavet.2025","VegP","GIBD"
"L099",44.0917548854014,"Clavet.2025","VegP","GIBD"
"L100",43.8745881963709,"Clavet.2025","VegP","GIBD"
"CL1",36.7584830328845,"Hunter.2025","VegP","GIBD"
"CL2",39.2710203726934,"Hunter.2025","VegP","GIBD"
"CL3",39.6544326360707,"Hunter.2025","VegP","GIBD"
"Extra",36.6880023021133,"Hunter.2025","VegP","GIBD"
"L001",40.3579525471036,"Hunter.2025","VegP","GIBD"
"L002",38.6825010984995,"Hunter.2025","VegP","GIBD"
"L003",37.1285949399309,"Hunter.2025","VegP","GIBD"
"L004",36.3656500795544,"Hunter.2025","VegP","GIBD"
"L005",38.2719316556071,"Hunter.2025","VegP","GIBD"
"L006",39.3685584981223,"Hunter.2025","VegP","GIBD"
"L007",38.3305026166358,"Hunter.2025","VegP","GIBD"
"L008",37.6953335278913,"Hunter.2025","VegP","GIBD"
"L009",36.9452144926528,"Hunter.2025","VegP","GIBD"
"L010",39.6356292368568,"Hunter.2025","VegP","GIBD"
"L011",38.9342215815677,"Hunter.2025","VegP","GIBD"
"L012",40.1357374091939,"Hunter.2025","VegP","GIBD"
"L013",38.2341176778198,"Hunter.2025","VegP","GIBD"
"L014",37.9561928797463,"Hunter.2025","VegP","GIBD"
"L015",35.4926090393363,"Hunter.2025","VegP","GIBD"
"L016",37.4786173880783,"Hunter.2025","VegP","GIBD"
"L017",37.4738550018409,"Hunter.2025","VegP","GIBD"
"L018",37.1681978023499,"Hunter.2025","VegP","GIBD"
"L019",38.3888935508244,"Hunter.2025","VegP","GIBD"
"L020",39.6331870231975,"Hunter.2025","VegP","GIBD"
"L021",36.897386313598,"Hunter.2025","VegP","GIBD"
"L022",39.6902797478113,"Hunter.2025","VegP","GIBD"
"L023",37.4460378429107,"Hunter.2025","VegP","GIBD"
"L024",38.7781943156153,"Hunter.2025","VegP","GIBD"
"L025",38.530251008789,"Hunter.2025","VegP","GIBD"
"L026",39.9801177313426,"Hunter.2025","VegP","GIBD"
"L027",37.7665652278121,"Hunter.2025","VegP","GIBD"
"L028",38.9595139214203,"Hunter.2025","VegP","GIBD"
"L029",37.4082044101961,"Hunter.2025","VegP","GIBD"
"L030",41.9402925953942,"Hunter.2025","VegP","GIBD"
"L031",36.2913956758145,"Hunter.2025","VegP","GIBD"
"L032",38.0050175203854,"Hunter.2025","VegP","GIBD"
"L033",39.7840624671373,"Hunter.2025","VegP","GIBD"
"L034",37.0389488680476,"Hunter.2025","VegP","GIBD"
"L035",37.7158731372963,"Hunter.2025","VegP","GIBD"
"L036",37.7420644680512,"Hunter.2025","VegP","GIBD"
"L037",39.871333310539,"Hunter.2025","VegP","GIBD"
"L038",39.4029814908475,"Hunter.2025","VegP","GIBD"
"L039",35.4291378900318,"Hunter.2025","VegP","GIBD"
"L040",37.8308663079501,"Hunter.2025","VegP","GIBD"
"L041",37.6437432145494,"Hunter.2025","VegP","GIBD"
"L042",38.6195772665638,"Hunter.2025","VegP","GIBD"
"L043",37.3981273301707,"Hunter.2025","VegP","GIBD"
"L044",40.230802737233,"Hunter.2025","VegP","GIBD"
"L045",37.5010036270077,"Hunter.2025","VegP","GIBD"
"L046",38.6933217590388,"Hunter.2025","VegP","GIBD"
"L047",37.3590601668643,"Hunter.2025","VegP","GIBD"
"L048",36.5505339806996,"Hunter.2025","VegP","GIBD"
"L049",39.2909409014545,"Hunter.2025","VegP","GIBD"
"L050",37.9463019287907,"Hunter.2025","VegP","GIBD"
"L051",37.4218487995369,"Hunter.2025","VegP","GIBD"
"L052",39.3305488140302,"Hunter.2025","VegP","GIBD"
"L053",37.6074373975143,"Hunter.2025","VegP","GIBD"
"L054",37.4729000290123,"Hunter.2025","VegP","GIBD"
"L055",38.2236642647313,"Hunter.2025","VegP","GIBD"
"L056",38.6565647877496,"Hunter.2025","VegP","GIBD"
"L057",37.0699623995277,"Hunter.2025","VegP","GIBD"
"L058",39.3577657807313,"Hunter.2025","VegP","GIBD"
"L059",38.6969807940825,"Hunter.2025","VegP","GIBD"
"L060",35.9469440884079,"Hunter.2025","VegP","GIBD"
"L061",38.6297037467915,"Hunter.2025","VegP","GIBD"
"L062",38.3419856598827,"Hunter.2025","VegP","GIBD"
"L063",37.06128283751,"Hunter.2025","VegP","GIBD"
"L064",37.5167484257381,"Hunter.2025","VegP","GIBD"
"L065",37.6113625839519,"Hunter.2025","VegP","GIBD"
"L066",39.1456368306181,"Hunter.2025","VegP","GIBD"
"L067",36.2699861235682,"Hunter.2025","VegP","GIBD"
"L068",39.4791259990276,"Hunter.2025","VegP","GIBD"
"L069",36.6726720224717,"Hunter.2025","VegP","GIBD"
"L070",35.3033953210295,"Hunter.2025","VegP","GIBD"
"L071",40.6423139988655,"Hunter.2025","VegP","GIBD"
"L072",35.8456150139301,"Hunter.2025","VegP","GIBD"
"L073",34.8904687251028,"Hunter.2025","VegP","GIBD"
"L074",35.4390400997987,"Hunter.2025","VegP","GIBD"
"L075",35.9320224010303,"Hunter.2025","VegP","GIBD"
"L076",36.5369839389158,"Hunter.2025","VegP","GIBD"
"L077",35.3449142454226,"Hunter.2025","VegP","GIBD"
"L078",36.6505279608373,"Hunter.2025","VegP","GIBD"
"L079",37.759950278895,"Hunter.2025","VegP","GIBD"
"L080",36.5126152124564,"Hunter.2025","VegP","GIBD"
"L081",36.7054602425499,"Hunter.2025","VegP","GIBD"
"L082",36.0785828379513,"Hunter.2025","VegP","GIBD"
"L083",37.3425402360258,"Hunter.2025","VegP","GIBD"
"L084",38.2723086132969,"Hunter.2025","VegP","GIBD"
"L085",36.611049731175,"Hunter.2025","VegP","GIBD"
"L086",37.3036282663782,"Hunter.2025","VegP","GIBD"
"L087",36.6823614088022,"Hunter.2025","VegP","GIBD"
"L088",35.8522211117941,"Hunter.2025","VegP","GIBD"
"L089",37.082872967861,"Hunter.2025","VegP","GIBD"
"L090",37.932925125486,"Hunter.2025","VegP","GIBD"
"L091",35.9076160722826,"Hunter.2025","VegP","GIBD"
"L092",35.8889056200693,"Hunter.2025","VegP","GIBD"
"L093",38.9080020310682,"Hunter.2025","VegP","GIBD"
"L094",39.8915480630689,"Hunter.2025","VegP","GIBD"
"L095",36.937861634115,"Hunter.2025","VegP","GIBD"
"L096",38.0631277748152,"Hunter.2025","VegP","GIBD"
"L097",37.1857645572332,"Hunter.2025","VegP","GIBD"
"L098",38.0015152208954,"Hunter.2025","VegP","GIBD"
"L099",36.9870057160465,"Hunter.2025","VegP","GIBD"
"L100",37.3912495228922,"Hunter.2025","VegP","GIBD"
"CL1",86.4258584469735,"Clavet.2024","DTM","GIBD"
"CL2",89.7226472339266,"Clavet.2024","DTM","GIBD"
"CL3",88.8166781988818,"Clavet.2024","DTM","GIBD"
"Extra",84.7815696349347,"Clavet.2024","DTM","GIBD"
"L001",89.7502497641672,"Clavet.2024","DTM","GIBD"
"L002",86.6907883138949,"Clavet.2024","DTM","GIBD"
"L003",88.1230399786978,"Clavet.2024","DTM","GIBD"
"L004",86.9630668529008,"Clavet.2024","DTM","GIBD"
"L005",88.3373921214183,"Clavet.2024","DTM","GIBD"
"L006",89.3892789115163,"Clavet.2024","DTM","GIBD"
"L007",87.5357519078441,"Clavet.2024","DTM","GIBD"
"L008",89.381611870105,"Clavet.2024","DTM","GIBD"
"L009",85.8643695046055,"Clavet.2024","DTM","GIBD"
"L010",87.9666602781648,"Clavet.2024","DTM","GIBD"
"L011",90.6853518791284,"Clavet.2024","DTM","GIBD"
"L012",89.651501590141,"Clavet.2024","DTM","GIBD"
"L013",88.7653764876889,"Clavet.2024","DTM","GIBD"
"L014",87.1369758519422,"Clavet.2024","DTM","GIBD"
"L015",86.4725216155198,"Clavet.2024","DTM","GIBD"
"L016",86.0405043277339,"Clavet.2024","DTM","GIBD"
"L017",87.8589192985125,"Clavet.2024","DTM","GIBD"
"L018",87.2063135120862,"Clavet.2024","DTM","GIBD"
"L019",85.158384292313,"Clavet.2024","DTM","GIBD"
"L020",88.4450303093204,"Clavet.2024","DTM","GIBD"
"L021",85.252754247612,"Clavet.2024","DTM","GIBD"
"L022",89.7941718882332,"Clavet.2024","DTM","GIBD"
"L023",88.3134840937986,"Clavet.2024","DTM","GIBD"
"L024",90.5742617684516,"Clavet.2024","DTM","GIBD"
"L025",89.426126060594,"Clavet.2024","DTM","GIBD"
"L026",88.0359670587405,"Clavet.2024","DTM","GIBD"
"L027",84.5099773504947,"Clavet.2024","DTM","GIBD"
"L028",86.4987264979463,"Clavet.2024","DTM","GIBD"
"L029",85.1471693400091,"Clavet.2024","DTM","GIBD"
"L030",88.6872012901684,"Clavet.2024","DTM","GIBD"
"L031",85.2075992582907,"Clavet.2024","DTM","GIBD"
"L032",85.5830165952929,"Clavet.2024","DTM","GIBD"
"L033",88.1825298341337,"Clavet.2024","DTM","GIBD"
"L034",88.2670385984038,"Clavet.2024","DTM","GIBD"
"L035",85.2516081129589,"Clavet.2024","DTM","GIBD"
"L036",86.1609546346935,"Clavet.2024","DTM","GIBD"
"L037",85.912350051018,"Clavet.2024","DTM","GIBD"
"L038",88.4917833884588,"Clavet.2024","DTM","GIBD"
"L039",85.914217162022,"Clavet.2024","DTM","GIBD"
"L040",86.6139522123627,"Clavet.2024","DTM","GIBD"
"L041",86.6731352521308,"Clavet.2024","DTM","GIBD"
"L042",88.4461174043529,"Clavet.2024","DTM","GIBD"
"L043",87.4800794528095,"Clavet.2024","DTM","GIBD"
"L044",88.4905406235786,"Clavet.2024","DTM","GIBD"
"L045",89.7355807596591,"Clavet.2024","DTM","GIBD"
"L046",87.8367547807726,"Clavet.2024","DTM","GIBD"
"L047",88.3874931519154,"Clavet.2024","DTM","GIBD"
"L048",87.0954972045197,"Clavet.2024","DTM","GIBD"
"L049",87.6304633698156,"Clavet.2024","DTM","GIBD"
"L050",86.8281988600636,"Clavet.2024","DTM","GIBD"
"L051",86.8691177241341,"Clavet.2024","DTM","GIBD"
"L052",87.6385325999641,"Clavet.2024","DTM","GIBD"
"L053",88.2566976174189,"Clavet.2024","DTM","GIBD"
"L054",85.1688104859325,"Clavet.2024","DTM","GIBD"
"L055",88.4868508865034,"Clavet.2024","DTM","GIBD"
"L056",89.8918845140064,"Clavet.2024","DTM","GIBD"
"L057",85.4833184934563,"Clavet.2024","DTM","GIBD"
"L058",89.7452670579398,"Clavet.2024","DTM","GIBD"
"L059",90.0320750193638,"Clavet.2024","DTM","GIBD"
"L060",86.0778498210511,"Clavet.2024","DTM","GIBD"
"L061",89.1090027109278,"Clavet.2024","DTM","GIBD"
"L062",89.5470640521945,"Clavet.2024","DTM","GIBD"
"L063",86.5425954211438,"Clavet.2024","DTM","GIBD"
"L064",87.3277563029582,"Clavet.2024","DTM","GIBD"
"L065",87.884023074297,"Clavet.2024","DTM","GIBD"
"L066",86.515732017252,"Clavet.2024","DTM","GIBD"
"L067",83.570262714764,"Clavet.2024","DTM","GIBD"
"L068",90.0804011552909,"Clavet.2024","DTM","GIBD"
"L069",86.4860110891413,"Clavet.2024","DTM","GIBD"
"L070",87.5656721230484,"Clavet.2024","DTM","GIBD"
"L071",90.1863939947443,"Clavet.2024","DTM","GIBD"
"L072",85.6008421499701,"Clavet.2024","DTM","GIBD"
"L073",83.0619749737486,"Clavet.2024","DTM","GIBD"
"L074",83.5588074886399,"Clavet.2024","DTM","GIBD"
"L075",84.3886067934288,"Clavet.2024","DTM","GIBD"
"L076",85.5786012792929,"Clavet.2024","DTM","GIBD"
"L077",85.7531022149658,"Clavet.2024","DTM","GIBD"
"L078",84.1179413008827,"Clavet.2024","DTM","GIBD"
"L079",89.7074622023362,"Clavet.2024","DTM","GIBD"
"L080",87.6142968277739,"Clavet.2024","DTM","GIBD"
"L081",84.5830757698865,"Clavet.2024","DTM","GIBD"
"L082",86.9676928189319,"Clavet.2024","DTM","GIBD"
"L083",86.4457296157018,"Clavet.2024","DTM","GIBD"
"L084",87.8239949355447,"Clavet.2024","DTM","GIBD"
"L085",86.3624141983611,"Clavet.2024","DTM","GIBD"
"L086",88.7548103007263,"Clavet.2024","DTM","GIBD"
"L087",87.8027150182759,"Clavet.2024","DTM","GIBD"
"L088",84.4975474429457,"Clavet.2024","DTM","GIBD"
"L089",86.6867971585573,"Clavet.2024","DTM","GIBD"
"L090",90.5380020320971,"Clavet.2024","DTM","GIBD"
"L091",84.8219397900999,"Clavet.2024","DTM","GIBD"
"L092",83.6591960526459,"Clavet.2024","DTM","GIBD"
"L093",88.5625116517404,"Clavet.2024","DTM","GIBD"
"L094",88.6556699305093,"Clavet.2024","DTM","GIBD"
"L095",85.3344732797482,"Clavet.2024","DTM","GIBD"
"L096",88.6930110826861,"Clavet.2024","DTM","GIBD"
"L097",86.6087348189241,"Clavet.2024","DTM","GIBD"
"L098",88.7724628492327,"Clavet.2024","DTM","GIBD"
"L099",86.4840580808608,"Clavet.2024","DTM","GIBD"
"L100",86.1381707971727,"Clavet.2024","DTM","GIBD"
