"genotype","BLUP","env","trait","model"
"L085",13.8577563585869,"Hunter.2024","DTE","GIBD"
"L086",13.7987154398097,"Hunter.2024","DTE","GIBD"
"L087",13.8089145615154,"Hunter.2024","DTE","GIBD"
"L088",13.8490221826693,"Hunter.2024","DTE","GIBD"
"L089",13.6528962392178,"Hunter.2024","DTE","GIBD"
"L090",13.9180119787998,"Hunter.2024","DTE","GIBD"
"L091",13.8550057183154,"Hunter.2024","DTE","GIBD"
"L092",13.8108166393727,"Hunter.2024","DTE","GIBD"
"L093",13.878316921896,"Hunter.2024","DTE","GIBD"
"L094",13.9537404267339,"Hunter.2024","DTE","GIBD"
"L095",13.659661285066,"Hunter.2024","DTE","GIBD"
"L096",13.8536619656933,"Hunter.2024","DTE","GIBD"
"L097",13.6692318820612,"Hunter.2024","DTE","GIBD"
"L098",13.8341564517431,"Hunter.2024","DTE","GIBD"
"L099",13.7387224664935,"Hunter.2024","DTE","GIBD"
"L100",13.7597108548918,"Hunter.2024","DTE","GIBD"
"CL1",10.9600720250183,"Clavet.2025","DTE","GIBD"
"CL2",10.5202307143827,"Clavet.2025","DTE","GIBD"
"CL3",10.9199043965982,"Clavet.2025","DTE","GIBD"
"Extra",11.1324908379457,"Clavet.2025","DTE","GIBD"
"L001",10.8089516861427,"Clavet.2025","DTE","GIBD"
"L002",10.8891904852957,"Clavet.2025","DTE","GIBD"
"L003",10.9766684844796,"Clavet.2025","DTE","GIBD"
"L004",10.7884278949803,"Clavet.2025","DTE","GIBD"
"L005",10.9613814831285,"Clavet.2025","DTE","GIBD"
"L006",11.0365429647494,"Clavet.2025","DTE","GIBD"
"L007",10.9850930067923,"Clavet.2025","DTE","GIBD"
"L008",11.1107984916774,"Clavet.2025","DTE","GIBD"
"L009",10.7992261862385,"Clavet.2025","DTE","GIBD"
"L010",11.3180969220727,"Clavet.2025","DTE","GIBD"
"L011",10.5527547083642,"Clavet.2025","DTE","GIBD"
"L012",11.2025740525497,"Clavet.2025","DTE","GIBD"
"L013",10.911132666626,"Clavet.2025","DTE","GIBD"
"L014",11.1641761496913,"Clavet.2025","DTE","GIBD"
"L015",11.0593185761322,"Clavet.2025","DTE","GIBD"
"L016",10.8355979374285,"Clavet.2025","DTE","GIBD"
"L017",10.8544912832589,"Clavet.2025","DTE","GIBD"
"L018",11.0230182849227,"Clavet.2025","DTE","GIBD"
"L019",10.6302011298251,"Clavet.2025","DTE","GIBD"
"L020",10.9622693097897,"Clavet.2025","DTE","GIBD"
"L021",11.0621166070114,"Clavet.2025","DTE","GIBD"
"L022",10.8250434359306,"Clavet.2025","DTE","GIBD"
"L023",10.6023807137213,"Clavet.2025","DTE","GIBD"
"L024",10.6597210827337,"Clavet.2025","DTE","GIBD"
"L025",10.3058421407495,"Clavet.2025","DTE","GIBD"
"L026",11.3225482652484,"Clavet.2025","DTE","GIBD"
"L027",11.0882063192111,"Clavet.2025","DTE","GIBD"
"L028",10.9067529299636,"Clavet.2025","DTE","GIBD"
"L029",10.9913542302515,"Clavet.2025","DTE","GIBD"
"L030",11.1712255237808,"Clavet.2025","DTE","GIBD"
"L031",10.8829404714157,"Clavet.2025","DTE","GIBD"
"L032",10.8785749110503,"Clavet.2025","DTE","GIBD"
"L033",10.6913890904938,"Clavet.2025","DTE","GIBD"
"L034",10.7033147299175,"Clavet.2025","DTE","GIBD"
"L035",10.7037705716977,"Clavet.2025","DTE","GIBD"
"L036",10.909186378352,"Clavet.2025","DTE","GIBD"
"L037",10.9407516912912,"Clavet.2025","DTE","GIBD"
"L038",10.6325118733293,"Clavet.2025","DTE","GIBD"
"L039",10.7218461433388,"Clavet.2025","DTE","GIBD"
"L040",10.771022865116,"Clavet.2025","DTE","GIBD"
"L041",10.7706407216172,"Clavet.2025","DTE","GIBD"
"L042",10.6091433646981,"Clavet.2025","DTE","GIBD"
"L043",10.7105310390856,"Clavet.2025","DTE","GIBD"
"L044",10.9065770713571,"Clavet.2025","DTE","GIBD"
"L045",10.8592879504708,"Clavet.2025","DTE","GIBD"
"L046",10.8453282217884,"Clavet.2025","DTE","GIBD"
"L047",10.7384129186444,"Clavet.2025","DTE","GIBD"
"L048",10.8953012647941,"Clavet.2025","DTE","GIBD"
"L049",10.8576265238051,"Clavet.2025","DTE","GIBD"
"L050",10.7631218017921,"Clavet.2025","DTE","GIBD"
"L051",10.7164897051724,"Clavet.2025","DTE","GIBD"
"L052",10.9763855171769,"Clavet.2025","DTE","GIBD"
"L053",10.6115899497614,"Clavet.2025","DTE","GIBD"
"L054",10.6082035440624,"Clavet.2025","DTE","GIBD"
"L055",10.4452766909201,"Clavet.2025","DTE","GIBD"
"L056",10.5726909153258,"Clavet.2025","DTE","GIBD"
"L057",11.2373044280843,"Clavet.2025","DTE","GIBD"
"L058",10.8726434669745,"Clavet.2025","DTE","GIBD"
"L059",10.9980015286961,"Clavet.2025","DTE","GIBD"
"L060",11.1247764577551,"Clavet.2025","DTE","GIBD"
"L061",11.0134155020414,"Clavet.2025","DTE","GIBD"
"L062",10.9128771553325,"Clavet.2025","DTE","GIBD"
"L063",10.8065326752064,"Clavet.2025","DTE","GIBD"
"L064",10.8667038619572,"Clavet.2025","DTE","GIBD"
"L065",10.6209157543157,"Clavet.2025","DTE","GIBD"
"L066",11.0203846997232,"Clavet.2025","DTE","GIBD"
"L067",11.1176028088396,"Clavet.2025","DTE","GIBD"
"L068",11.1685050609832,"Clavet.2025","DTE","GIBD"
"L069",11.053273180142,"Clavet.2025","DTE","GIBD"
"L070",10.8492242055515,"Clavet.2025","DTE","GIBD"
"L071",10.8026074824142,"Clavet.2025","DTE","GIBD"
"L072",10.915945454386,"Clavet.2025","DTE","GIBD"
"L073",10.817213265531,"Clavet.2025","DTE","GIBD"
"L074",11.2128547797311,"Clavet.2025","DTE","GIBD"
"L075",10.4638150390342,"Clavet.2025","DTE","GIBD"
"L076",10.7409479662339,"Clavet.2025","DTE","GIBD"
"L077",10.7791415702482,"Clavet.2025","DTE","GIBD"
"L078",10.7570115858065,"Clavet.2025","DTE","GIBD"
"L079",10.4234078923021,"Clavet.2025","DTE","GIBD"
"L080",10.8773495053904,"Clavet.2025","DTE","GIBD"
"L081",10.8019152408723,"Clavet.2025","DTE","GIBD"
"L082",10.3792954231156,"Clavet.2025","DTE","GIBD"
"L083",11.0612984625059,"Clavet.2025","DTE","GIBD"
"L084",10.8108907828945,"Clavet.2025","DTE","GIBD"
"L085",10.701638562856,"Clavet.2025","DTE","GIBD"
"L086",10.7335904280074,"Clavet.2025","DTE","GIBD"
"L087",10.8185862521951,"Clavet.2025","DTE","GIBD"
"L088",10.902759427199,"Clavet.2025","DTE","GIBD"
"L089",10.7525121762456,"Clavet.2025","DTE","GIBD"
"L090",10.7277298839638,"Clavet.2025","DTE","GIBD"
"L091",11.0791082639869,"Clavet.2025","DTE","GIBD"
"L092",10.6142313751518,"Clavet.2025","DTE","GIBD"
"L093",11.1176010516035,"Clavet.2025","DTE","GIBD"
"L094",10.9455000841159,"Clavet.2025","DTE","GIBD"
"L095",10.9298913874647,"Clavet.2025","DTE","GIBD"
"L096",10.5669388142356,"Clavet.2025","DTE","GIBD"
"L097",10.8742290178439,"Clavet.2025","DTE","GIBD"
"L098",10.762107793561,"Clavet.2025","DTE","GIBD"
"L099",10.8850376222697,"Clavet.2025","DTE","GIBD"
"L100",11.0970398441213,"Clavet.2025","DTE","GIBD"
"CL1",16.0210480532241,"Hunter.2025","DTE","GIBD"
"CL2",15.9197260942849,"Hunter.2025","DTE","GIBD"
"CL3",15.9757747383286,"Hunter.2025","DTE","GIBD"
"Extra",15.9719781052883,"Hunter.2025","DTE","GIBD"
"L001",16.003767591024,"Hunter.2025","DTE","GIBD"
"L002",16.0362510056351,"Hunter.2025","DTE","GIBD"
"L003",15.9545096185488,"Hunter.2025","DTE","GIBD"
"L004",15.9899156244109,"Hunter.2025","DTE","GIBD"
"L005",16.0207686147212,"Hunter.2025","DTE","GIBD"
"L006",16.0357530082863,"Hunter.2025","DTE","GIBD"
"L007",16.0677673695105,"Hunter.2025","DTE","GIBD"
"L008",16.0375020945797,"Hunter.2025","DTE","GIBD"
"L009",15.988712526228,"Hunter.2025","DTE","GIBD"
"L010",16.0534453026081,"Hunter.2025","DTE","GIBD"
"L011",16.0375927708747,"Hunter.2025","DTE","GIBD"
"L012",16.0541599231893,"Hunter.2025","DTE","GIBD"
"L013",15.9725866655477,"Hunter.2025","DTE","GIBD"
"L014",15.9866133880527,"Hunter.2025","DTE","GIBD"
"L015",16.0032718887807,"Hunter.2025","DTE","GIBD"
"L016",16.0205198477733,"Hunter.2025","DTE","GIBD"
"L017",16.0211387207371,"Hunter.2025","DTE","GIBD"
"L018",16.0874785575095,"Hunter.2025","DTE","GIBD"
"L019",16.0053810787349,"Hunter.2025","DTE","GIBD"
"L020",15.9862709625169,"Hunter.2025","DTE","GIBD"
"L021",16.0369730004578,"Hunter.2025","DTE","GIBD"
"L022",15.9886757220852,"Hunter.2025","DTE","GIBD"
"L023",15.940255536445,"Hunter.2025","DTE","GIBD"
"L024",16.0015093208821,"Hunter.2025","DTE","GIBD"
"L025",15.9411256373174,"Hunter.2025","DTE","GIBD"
"L026",16.0053036906273,"Hunter.2025","DTE","GIBD"
"L027",16.0378910648099,"Hunter.2025","DTE","GIBD"
"L028",16.0364623635574,"Hunter.2025","DTE","GIBD"
"L029",16.0207401980753,"Hunter.2025","DTE","GIBD"
"L030",16.0526906372076,"Hunter.2025","DTE","GIBD"
"L031",16.004401740999,"Hunter.2025","DTE","GIBD"
"L032",16.0053149204557,"Hunter.2025","DTE","GIBD"
"L033",16.0225783923937,"Hunter.2025","DTE","GIBD"
"L034",15.9735045635954,"Hunter.2025","DTE","GIBD"
"L035",15.9076927473729,"Hunter.2025","DTE","GIBD"
"L036",16.0540631678753,"Hunter.2025","DTE","GIBD"
"L037",16.0365797644774,"Hunter.2025","DTE","GIBD"
"L038",15.939948796805,"Hunter.2025","DTE","GIBD"
"L039",15.988300807256,"Hunter.2025","DTE","GIBD"
"L040",16.0057488824033,"Hunter.2025","DTE","GIBD"
"L041",16.0689584307164,"Hunter.2025","DTE","GIBD"
"L042",15.9554477689187,"Hunter.2025","DTE","GIBD"
"L043",16.0197881659408,"Hunter.2025","DTE","GIBD"
"L044",16.0203638951431,"Hunter.2025","DTE","GIBD"
"L045",15.9891077460568,"Hunter.2025","DTE","GIBD"
"L046",16.0358032635339,"Hunter.2025","DTE","GIBD"
"L047",15.8591384793107,"Hunter.2025","DTE","GIBD"
"L048",16.020577824241,"Hunter.2025","DTE","GIBD"
"L049",16.0850832178046,"Hunter.2025","DTE","GIBD"
"L050",15.987764068723,"Hunter.2025","DTE","GIBD"
"L051",16.0213049426675,"Hunter.2025","DTE","GIBD"
"L052",16.0355117149967,"Hunter.2025","DTE","GIBD"
"L053",15.9393652850974,"Hunter.2025","DTE","GIBD"
"L054",16.0536365409587,"Hunter.2025","DTE","GIBD"
