"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L010",769.15,95,18.0707976119187,47,142,2.28071383319511,57,152,8.95468279396323,57,152,294.313856396439,65,160,148.033724504796,51,146,0.125605657829129,44,139,0.00525892709289611,44,139,21913.9835907617,51,146,2.2807734765174,56,151,12.1614435244018,61,156,6.18607493859159,49,144,0.0812392690365346,57,152,2.87942874157287,59,154
"L011",1082.27375,23,4.20654255787196,9,32,0.590503423112324,11,34,2.31800579263211,11,34,94.5210516064219,8,31,56.2995042621994,7,30,0.0806302683115854,14,37,0.00216708005599942,14,37,3169.6341801694,7,30,0.602834747821926,12,35,4.43992055062867,10,33,3.43293070887173,14,37,0.0287548247073926,13,36,0.925754033983747,13,36
"L012",962.67125,59,81.309791380439,99,158,2.90350017431377,80,139,11.3929270461152,80,139,473.57436415622,92,151,277.008785720283,95,154,0.297199513914884,102,161,0.0294425170237478,102,161,76733.8673662256,95,154,2.90422455587318,80,139,28.1516526484784,103,162,12.211056501053,96,155,0.126480038079046,91,150,4.16013194240126,85,144
"L013",1280.92875,1,23.6749944627618,59,60,2.83071239726878,76,77,11.1147048875857,76,77,346.551143603561,74,75,174.463342059448,68,69,0.139078507981101,50,51,0.00644761046074975,50,51,30437.4577225519,68,69,2.83081792515176,76,77,13.5231132595366,67,68,6.9853262587815,55,56,0.0954564139997387,69,70,3.42481165672775,72,73
"L014",1084.0625,21,7.46721209564352,20,41,0.507241285889732,9,30,1.99163622900249,9,30,112.772408002861,13,34,65.820664420922,12,33,0.118508986210727,33,54,0.00468145993756474,33,54,4332.35986481163,12,33,0.547706132474987,9,30,3.60113966992998,8,29,3.82374835655871,18,39,0.0264985575743622,10,31,0.825065915728608,10,31
"L015",967.85875,55,19.1451833619642,52,107,2.81756286631454,74,129,11.0637747552025,74,129,270.284584237356,58,113,162.837162852112,62,117,0.120722940085739,37,92,0.00485800942098168,37,92,26515.9416057254,62,117,2.8184692765673,74,129,11.3150191108784,54,109,5.8403881661924,44,99,0.0835092129998707,61,116,3.06489822176928,65,120
"L016",1028.13625,39,11.067698182384,29,68,2.07187764289402,50,89,8.13562165188345,50,89,229.821143603563,46,85,121.591519085476,37,76,0.095240784077156,22,61,0.00302360231721049,22,61,14784.4975135136,37,76,2.07318114887464,50,89,8.53768456488489,36,75,4.8142229264989,29,68,0.0644732448351918,44,83,2.33688090193983,46,85
"L017",1165.89,6,13.9185399741328,35,41,2.36722415217883,60,66,9.29547287676828,60,66,240.076143603562,48,54,137.211794115659,46,52,0.10652644515581,28,34,0.00378262783917795,28,34,18827.076444438,46,52,2.3689481615947,60,66,9.36902612557576,41,47,4.78657865445899,26,32,0.0673194659001377,47,53,2.48119533903474,50,56
"L018",1084.41625,20,50.4623644215109,91,111,2.26742892763747,56,76,8.89908855035743,56,76,352.785323765505,76,96,209.248816204132,80,100,0.254964487435372,91,111,0.021668963284394,91,111,43785.0670828306,80,100,2.28552824681791,57,77,19.2679285343666,91,111,11.7767930906758,94,114,0.106892266505809,78,98,3.46875989621323,74,94
"L019",958.93375,60,96.257113978393,104,164,5.39987135346228,103,163,21.2017159958435,103,163,688.881143603561,104,164,344.528339719189,104,164,0.287680112252942,100,160,0.0275866156619551,100,160,118699.776869661,104,164,5.40027361233023,103,163,27.7608170987311,102,162,14.5225011750954,103,163,0.190165983703245,104,164,6.75209735755435,104,164
"L020",1003.875,45,45.0535230285636,86,131,4.10101971781408,91,136,16.1029633184916,91,136,419.952915762645,88,133,245.406160521143,90,135,0.186993229462826,75,120,0.0116554892883124,75,120,60224.183621729,90,135,4.10109583818853,91,136,18.3029469423023,85,130,9.24298105421139,79,124,0.132026239051333,95,140,4.78764313585783,93,138
"L021",1128.48875,12,35.4025669635695,74,86,3.74653275646946,89,101,14.7116598015671,89,101,369.081143603561,83,95,217.770765145188,82,94,0.171798398003831,63,75,0.00983822985222755,63,75,47424.1061519206,82,94,3.74973069297683,89,101,14.842561289864,70,82,7.6764696523851,62,74,0.106675050691453,77,89,3.92685817873376,83,95
"L022",976.79625,50,25.9628654726019,63,113,1.95330149366741,49,99,7.6687381304031,49,99,270.891143603562,59,109,151.833032076105,55,105,0.187912652999545,77,127,0.0117703883857758,77,127,23053.2696294236,55,105,1.97053967503699,49,99,11.9300221337807,60,110,8.79887197552176,78,128,0.0836300481065073,63,113,2.79268471706621,57,107
"L023",924.4075,64,8.61932940176516,24,88,0.677706150324124,15,79,2.65771513518552,15,79,141.648227840917,19,83,83.902761006822,17,81,0.105446304091699,26,90,0.0037063076821997,26,90,7039.67330456788,17,81,0.68536725438791,14,78,8.52172051303707,35,99,4.03225126574656,21,85,0.0291505627624982,14,78,0.850656325564413,12,76
"L024",907.805,68,24.603269051919,61,129,2.26230519221406,55,123,8.88325360751211,55,123,243.010323765501,49,117,153.345383088384,57,125,0.182077463539573,69,137,0.0110507342430015,69,137,23514.8065145231,57,125,2.27884521704536,55,123,10.2428947407842,48,116,8.03661239146491,66,134,0.0819787204179806,59,127,2.82922435591115,58,126
"L025",952.35,62,30.4000984310038,68,130,2.99555390350037,82,144,11.7615588903943,82,144,322.087084237354,71,133,192.113190382672,75,137,0.164480361156617,58,120,0.00901792973540371,58,120,36907.4779190086,75,137,2.9966404597675,82,144,15.4157154652772,72,134,8.60297529783348,72,134,0.107433887590751,79,141,3.78878364681238,82,144
"L026",1076.75690789474,25,36.7286909743279,77,102,2.54275154874843,67,92,9.98131663849305,67,92,366.748512024613,82,107,196.372429395025,77,102,0.191750727494759,80,105,0.0122561138315897,80,105,38562.1310265039,77,102,2.54293848212731,67,92,18.3326096600239,86,111,8.74899905929431,76,101,0.102465313990966,73,98,3.51052661942196,76,101
"L027",985.85625,49,17.5224862004392,44,93,0.988562836216064,24,73,3.87915062503481,24,73,211.7253237655,39,88,113.159960276547,35,84,0.163785764808023,57,106,0.00894192558458306,57,106,12805.1766097898,35,84,1.01600945114079,25,74,9.78992671607803,44,93,6.76259844087952,54,103,0.0524707323158563,34,83,1.63056116582901,31,80
