"genotype","BLUP_combined","trait","Genotype","dev_year"
"L043",38.3357105448957,"VegP","L043",2026
"L044",40.9801826778519,"VegP","L044",2026
"L045",38.0874265155758,"VegP","L045",2027
"L046",38.9847437622903,"VegP","L046",2027
"L047",37.958370915036,"VegP","L047",2026
"L048",37.8946595387163,"VegP","L048",2026
"L049",40.5217557132429,"VegP","L049",2026
"L050",37.4348970452546,"VegP","L050",2027
"L051",38.2589773855129,"VegP","L051",2027
"L052",39.7038683842337,"VegP","L052",2027
"L053",38.6501598048118,"VegP","L053",2027
"L054",38.7284235347428,"VegP","L054",2027
"L055",38.6354850886847,"VegP","L055",2014
"L056",38.8657456592609,"VegP","L056",2016
"L057",38.2734621854968,"VegP","L057",2017
"L058",40.9044892311532,"VegP","L058",2018
"L059",39.7151696310164,"VegP","L059",2018
"L060",36.217348952972,"VegP","L060",2018
"L061",39.212554398207,"VegP","L061",2019
"L062",38.415643521271,"VegP","L062",2020
"L063",37.3941854754895,"VegP","L063",2019
"L064",37.6761284965435,"VegP","L064",2019
"L065",38.2389758951664,"VegP","L065",2019
"L066",39.4538081678444,"VegP","L066",2019
"L067",37.083688515858,"VegP","L067",2019
"L068",41.0812669677,"VegP","L068",2019
"L069",38.0969444624908,"VegP","L069",2019
"L070",36.9115043854352,"VegP","L070",2019
"L071",41.0861599843766,"VegP","L071",2019
"L072",36.2742426965995,"VegP","L072",2019
"L073",36.1275766802457,"VegP","L073",2006
"L074",35.8956174986823,"VegP","L074",2006
"L075",36.5251631354146,"VegP","L075",2006
"L076",36.3657814316257,"VegP","L076",2014
"L077",36.8133814407624,"VegP","L077",2007
"L078",37.8692780112282,"VegP","L078",2008
"L079",38.7720932614824,"VegP","L079",2008
"L080",37.0695023813299,"VegP","L080",2009
"L081",38.3333993319767,"VegP","L081",2008
"L082",36.8162599070399,"VegP","L082",2009
"L083",37.7730800138239,"VegP","L083",2010
"L084",38.5660186967389,"VegP","L084",2013
"L085",37.3699052781999,"VegP","L085",2014
"L086",38.4529274338272,"VegP","L086",2013
"L087",37.3979468736634,"VegP","L087",2013
"L088",36.2563597171822,"VegP","L088",2007
"L089",38.6416033884856,"VegP","L089",2016
"L090",37.8606916416572,"VegP","L090",2016
"L091",37.0352799804767,"VegP","L091",2016
"L092",37.3050735006919,"VegP","L092",2017
"L093",39.8674583198738,"VegP","L093",2018
"L094",40.3753811481742,"VegP","L094",2017
"L095",38.3098272287947,"VegP","L095",2020
"L096",38.6093600943398,"VegP","L096",2020
"L097",38.6713697291233,"VegP","L097",2019
"L098",38.9712490316373,"VegP","L098",2019
"L099",37.7176486204421,"VegP","L099",2019
"L100",38.0025840728113,"VegP","L100",2019
"L001",90.0646356907402,"DTM","L001",2023
"L002",87.9273437999528,"DTM","L002",2025
"L003",89.1193374970367,"DTM","L003",2023
"L004",87.9806789836053,"DTM","L004",2026
"L005",89.5962379730154,"DTM","L005",2023
"L006",90.2138397384446,"DTM","L006",2023
"L007",88.4333583832157,"DTM","L007",2023
"L008",89.7558618743154,"DTM","L008",2023
"L009",87.8781758415032,"DTM","L009",2023
"L010",89.1938612846633,"DTM","L010",2023
"L011",91.9306209764825,"DTM","L011",2026
"L012",90.5905714489216,"DTM","L012",2023
"L013",89.8283098855528,"DTM","L013",2024
"L014",88.1846496799947,"DTM","L014",2025
"L015",87.502381343651,"DTM","L015",2024
"L016",88.2002415180316,"DTM","L016",2025
"L017",88.9713395508362,"DTM","L017",2024
"L018",88.173437191461,"DTM","L018",2024
"L019",87.6956620682941,"DTM","L019",2023
"L020",89.3006579003949,"DTM","L020",2025
"L021",87.0821213435013,"DTM","L021",2024
"L022",90.1373906362766,"DTM","L022",2024
"L023",89.3209130398617,"DTM","L023",2026
"L024",90.3825739485664,"DTM","L024",2024
