"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L010",40.25,16,1.07495468167612,104,120,0.324773033294361,98,114,0.925614933271957,98,114,4.33253101939588,103,119,2.55299737169514,104,120,0.442937087026535,104,120,0.0653977543545175,104,120,6.51779557988229,104,120,0.337682245022466,99,115,1.77596796499762,101,117,1.76413012959902,104,120,0.202571423538048,104,120,0.54044890572404,102,118
"L011",40.6125,13,0.454119093560321,95,108,0.348523370438985,100,113,0.993447621427122,100,113,3.8209925578574,99,112,1.97999610125824,97,110,0.230932248858574,89,102,0.0177765678542928,89,102,3.92038456099784,97,110,0.348774134284551,100,113,1.02244111510535,77,90,0.848854755571657,90,103,0.134438047562746,95,108,0.38891053136434,95,108
"L012",41.65,3,0.223704114294861,70,73,0.20720199573511,78,81,0.590523815970068,78,81,2.23498125556321,71,74,1.32388243297374,74,77,0.170759533539556,65,68,0.00971960609821555,65,68,1.75266469633647,74,77,0.207443804054932,78,81,1.06779669486175,79,82,0.739745319908228,77,80,0.106369432368655,83,86,0.297835099131154,83,86
"L013",38.4125,50,0.1007150567269,41,91,0.158515997683162,59,109,0.451831225420599,59,109,1.47900744214261,46,96,0.92087002547019,47,97,0.110655880164076,33,83,0.00408157460496209,33,83,0.848001603809468,47,97,0.158712739347357,59,109,0.531133655537339,40,90,0.459777812049751,41,91,0.0694127266805839,54,104,0.198081222917608,54,104
"L014",39.275,29,0.150315016845901,57,86,0.0269567727283507,5,34,0.0768387315863018,5,34,1.36746898060412,44,73,0.807218583999788,43,72,0.187085271591481,71,100,0.0116669662821528,71,100,0.651601842354623,43,72,0.0547449404435479,13,42,0.392410833137917,28,57,0.443042633105663,39,68,0.0331760864923169,14,43,0.0771262152077696,10,39
"L015",36.2875,97,0.299526526108812,83,180,0.198577842733972,76,173,0.56578522332832,76,173,2.48498125556319,80,177,1.47268527798751,82,179,0.203801194696613,81,178,0.0138449756532556,81,178,2.16880192800114,82,179,0.198647990759823,75,172,1.51207804292418,99,196,0.705467650253188,72,169,0.0957267343076,72,169,0.261138895990405,72,169
"L016",37.9125,65.5,0.025943975259265,8,73.5,0.0660680752278291,27,92.5,0.188276662269108,27,92.5,0.815018744436806,15,80.5,0.444239086551172,11,76.5,0.0588232113041841,7,72.5,0.00115339006271223,7,72.5,0.19734836601982,11,76.5,0.0661188329303876,25,90.5,0.398828797835786,30,95.5,0.242584646018964,9,74.5,0.0344791537242687,18,83.5,0.0959276065838206,23,88.5
"L017",37.875,67.5,0.149317155224994,56,123.5,0.148915658869523,55,122.5,0.424352219980556,55,122.5,1.76501874443677,57,124.5,1.04439301627194,55,122.5,0.145131121774185,50,117.5,0.00702101416914448,50,117.5,1.09075677243761,55,122.5,0.149497663390069,55,122.5,0.961208473518129,71,138.5,0.612839159895605,61,128.5,0.0813559559400567,61,128.5,0.222881855400506,61,128.5
"L018",37.975,64,0.0110107511649635,2,66,0.0425648229946261,12,76,0.1212971186161,12,76,0.534981255563207,4,68,0.288534170311213,3,67,0.0384559695949368,2,66,0.000492953865828903,2,66,0.0832519674371803,3,67,0.0426068240674425,6,70,0.261701855376593,9,73,0.158726099051824,3,67,0.0223432364340817,4,68,0.0620147856029945,5,69
"L019",39.4125,28,0.14187625381006,51,79,0.18699066942615,72,100,0.533007521370201,72,100,1.74425241640824,56,84,1.08425067043954,60,88,0.134127503213251,45,73,0.00599672903940691,45,73,1.17559951634858,60,88,0.187592625421516,72,100,0.556170769013599,43,71,0.514437526997013,52,80,0.0753419968967848,56,84,0.214910156059422,59,87
"L020",40.7125,11,0.153765813989597,58,69,0.128896672835292,52,63,0.367294217008808,52,63,1.67674014144917,51,62,1.00149100680756,52,63,0.158993392735911,61,72,0.00842629964455857,61,72,1.00298423671641,52,63,0.131595787970815,52,63,0.887747552604453,66,77,0.654688625155746,64,75,0.0774910916718992,59,70,0.206723758060112,55,66
"L021",38.1375,58,0.277937413323992,81,139,0.238119058711802,86,144,0.678653046418446,86,144,2.49425241640824,81,139,1.49040640459859,83,141,0.187807807570187,73,131,0.0117572575281068,73,131,2.22131125086849,83,141,0.238209803697467,85,143,1.16270677409527,85,143,0.794213480549586,84,142,0.118309851500213,87,145,0.333857354862283,87,145
"L022",40.6375,12,0.0686344052008976,32,44,0.075772070395973,32,44,0.21588227512252,32,44,1.12674014144915,34,46,0.651699232851735,33,45,0.108693829551645,31,43,0.00393811619420071,31,43,0.42471189009954,33,45,0.0781470853274759,31,43,0.612823615526364,49,61,0.400061629613583,34,46,0.0432534087777079,32,44,0.111853144822047,32,44
"L023",38.4875,47.5,0.0776929508195827,35,82.5,0.0512091168188469,16,63.5,0.145934933971577,16,63.5,0.926740141449151,25,72.5,0.618265198357439,29,76.5,0.129232563031158,41,88.5,0.00556701844920078,41,88.5,0.382251855499964,29,76.5,0.0598932747552668,18,65.5,0.391449788212843,27,74.5,0.421109589388546,37,84.5,0.0407490681407756,30,77.5,0.103329125684952,27,74.5
"L024",39.65,23.5,0.223239116025619,69,92.5,0.186722259053858,71,94.5,0.532080666065597,71,94.5,1.97099255785734,65,88.5,1.29278236199285,71,94.5,0.173661977230778,67,90.5,0.0100528274452345,67,90.5,1.67128623547982,71,94.5,0.186841356649741,71,94.5,1.21658750067102,88,111.5,0.690424581079111,70,93.5,0.0971516929829099,75,98.5,0.269104170726607,73,96.5
"L025",39.2375,30,0.143744315221165,53,83,0.127499009072232,51,81,0.363248795272804,51,81,1.62674014144916,49,79,0.996402852093467,51,81,0.145966181901134,52,82,0.00710204208626494,52,82,0.992818643659996,51,81,0.128297207703918,51,81,1.02614502825073,78,108,0.509270052379294,51,81,0.0602092623387288,47,77,0.158472249272797,46,76
"L026",40.9348684210526,8,0.0421623460083345,21,29,0.101006533649724,44,52,0.287898231312155,44,52,1.13151887364689,35,43,0.59520755567229,25,33,0.0711257804564788,11,19,0.00168629221518107,11,19,0.354272034329382,25,33,0.101013817676459,44,52,0.385621580668278,24,32,0.287379402320179,15,23,0.0453996217194166,35,43,0.13016807401973,39,47
"L027",37.85,69,0.185122829443252,63,132,0.0234375927606317,3,72,0.0668074176958556,3,72,1.73253101939581,55,124,0.892657104592181,45,114,0.207984836213698,82,151,0.0144192306982795,82,151,0.796836706378895,45,114,0.0580064191614964,16,85,0.433563462811284,32,101,0.479805564269881,45,114,0.0345845037975882,19,88,0.0789443196073952,11,80
"L028",38.9625,32,0.276195728020102,80,112,0.160218396191157,60,92,0.456478970159025,60,92,2.61501874443681,84,116,1.32962399815893,75,107,0.213628754453925,83,115,0.0152124149098451,83,115,1.76789997648013,75,107,0.163820892202238,60,92,1.28258270309388,90,122,0.796299193480104,85,117,0.0886061915924841,69,101,0.230819744334663,64,96
"L029",38.5625,43,0.265790307957297,78,121,0.262114622110539,88,131,0.747142573269284,88,131,2.44425241640825,78,121,1.50243895570526,84,127,0.179377791882788,70,113,0.0107254640735817,70,113,2.25732281562072,84,127,0.262530874029198,88,131,0.783447155046411,61,104,0.691606148108346,71,114,0.105272562503425,81,124,0.302142234660788,84,127
"L030",42.175,1,0.381308805403104,92,93,0.218045044130932,81,82,0.621235799916303,81,82,3.26501874443679,92,93,1.64839450827494,90,91,0.232500539999211,91,92,0.0180188336999749,91,92,2.71720445491098,90,91,0.218473767164827,81,82,1.70164505904122,100,101,0.822722322708329,87,88,0.105457351255954,82,83,0.283750158729626,79,80
"L031",36.4125,95,0.183985378544987,62,157,0.22427510763911,83,178,0.639283851561104,83,178,2.3790074421426,77,172,1.2675930689072,69,164,0.145250356597489,51,146,0.00703255536389928,51,146,1.60679218834158,69,164,0.224282962381932,83,178,0.6585536316281,51,146,0.499074791254846,49,144,0.0841068200887449,64,159,0.245786315176446,70,165
"L032",38.575,42,0.0279550962926214,9,51,0.0625884593943573,24,66,0.178334570579171,24,66,0.865018744436775,19,61,0.452945503209838,13,55,0.0618457328776992,8,50,0.00127496489172658,8,50,0.205159628878013,13,55,0.062589406499726,22,64,0.454264757827558,33,75,0.216024204526915,8,50,0.0307183116212374,12,54,0.0848364887314042,15,57
"L033",39.825,19,0.24276052704906,73,92,0.0653436227422581,26,45,0.186168808010369,26,45,1.63253101939591,50,69,1.06410468630363,58,77,0.231968636857637,90,109,0.0179364828285301,90,109,1.13231878341335,58,77,0.0865102031308589,35,54,0.68933031872285,55,74,0.666220227279472,66,85,0.056170492545208,44,63,0.134724636242019,41,60
"L034",37.7875,72,0.137911181468238,49,121,0.103458633383343,47,119,0.294797680725522,47,119,1.41746898060414,45,117,0.903759413571608,46,118,0.158649240698013,60,132,0.00838986052468538,60,132,0.816781077619297,46,118,0.108183489198978,47,119,0.764672967836244,58,130,0.609308595488389,60,132,0.0667225285278823,52,124,0.174357951574781,51,123
"L035",37.875,67.5,0.0918877478343573,38,105.5,0.0701829718628831,30,97.5,0.199960004627683,30,97.5,1.26501874443679,41,108.5,0.710107533124842,37,104.5,0.13385760492582,43,110.5,0.0059726194654923,43,110.5,0.504252708600649,37,104.5,0.0758433749320509,29,96.5,0.592501845338771,47,114.5,0.461821746861679,42,109.5,0.0458885761099273,36,103.5,0.116095797954432,35,102.5
"L036",38.2125,56,0.032932183430078,14,70,0.0595639753968029,23,79,0.169749117186327,23,79,0.779007442142584,13,69,0.45672663917708,15,71,0.0754866832196834,13,69,0.00189941311450294,13,69,0.208599222933991,15,71,0.0612904047965939,20,76,0.353783145016558,19,75,0.31209230225489,19,75,0.0367002822512914,25,81,0.0982329947246772,25,81
"L037",40.8375,9,0.213018734578741,67,76,0.21612411773413,79,88,0.616008879744736,79,88,2.3209925578574,73,82,1.30992609167468,72,81,0.165669323240005,64,73,0.00914877488760046,64,73,1.71590636565011,72,81,0.21665449937574,79,88,0.874561504184525,65,74,0.733098587850461,75,84,0.105183014659907,80,89,0.296000466394272,82,91
"L038",40.025,17,0.261616744707283,76,93,0.174552271547328,64,81,0.497313134153222,64,81,2.36501874443679,76,93,1.34928962637185,76,93,0.19602756949236,76,93,0.0128089360003607,76,93,1.8205824958347,76,93,0.175494367029753,64,81,1.38381433132565,92,109,0.706335677565944,73,90,0.0857526793884625,66,83,0.227698937399448,63,80
"L039",36.0875,99,0.144588807760894,54,153,0.149840799998652,56,155,0.427072862555533,56,155,1.69072883915498,53,152,1.00652813027148,53,152,0.150677516473285,56,155,0.00756790465685237,56,155,1.01309887702781,53,152,0.152079946563796,56,155,0.687629177513102,54,153,0.653006726305207,63,162,0.0826417209787108,63,162,0.226175235539902,62,161
"L040",38.8625,34,0.039516843896083,18,52,0.0264765879432767,4,38,0.0754332359270216,4,38,0.661721397012381,6,40,0.429566703326016,7,41,0.0935492576229899,26,60,0.00291715453393751,26,60,0.184527552606381,7,41,0.0349692267953524,4,38,0.279589332870994,10,44,0.267773368453167,12,46,0.0224711816219285,5,39,0.0537718134533109,4,38
"L041",38.6875,38,0.0322285929933381,13,51,0.0580011348750178,21,59,0.165329200782883,21,59,0.720992557857382,11,49,0.438414013595205,9,47,0.0780688904663985,14,52,0.00203158388621818,14,52,0.192206847316656,9,47,0.0605899566984641,19,57,0.220452198626259,5,43,0.264797424900071,11,49,0.0297966649626967,10,48,0.0800192980252258,12,50
"L042",39.6375,25,0.111246267047449,45,70,0.154506574742727,58,83,0.440370299861802,58,83,1.82099255785741,61,86,0.947110021599371,49,74,0.118851217584552,39,64,0.00470853730711014,39,64,0.897017393013962,49,74,0.154698288842485,58,83,0.681895800928752,53,78,0.520483988022993,53,78,0.076088310365889,57,82,0.21446186318302,58,83
"L043",38.2875,54,0.0387399218375386,17,71,0.0508931794032275,15,69,0.145030911539469,15,69,0.790728839154968,14,68,0.465595761516385,18,72,0.0867395575969683,19,73,0.00250791695070593,19,73,0.216779413142023,18,72,0.0543133926894798,12,66,0.34653653304544,17,71,0.324332144550503,22,76,0.0348085703696741,21,75,0.0908465385933298,20,74
"L044",41.0875,6,0.0484062189839139,22,28,0.0881979381148692,40,46,0.251403770827177,40,46,0.89425241640824,23,29,0.577258463253548,23,29,0.0892158473531012,23,29,0.00265315580631062,23,29,0.333227333397848,23,29,0.0899327533469314,37,43,0.29282078583266,12,18,0.327631033496235,23,29,0.040668154975433,29,35,0.111967963087501,33,39
"L045",38,63,0.0255576240959539,7,70,0.0836971737552425,38,101,0.238575064278594,38,101,0.829007442142585,17,80,0.47236683989694,19,82,0.0542193619058072,5,68,0.000979913068490965,5,68,0.223130431434221,19,82,0.0837148953172915,34,97,0.240180245916244,7,70,0.181949487564067,5,68,0.0302649697341726,11,74,0.0884485833677024,18,81
"L046",38.7875,35,0.117457291043285,46,81,0.0815848200184132,35,70,0.232553856087715,35,70,1.28827860298762,42,77,0.780090356296111,42,77,0.15711920838673,59,94,0.00822881521469094,59,94,0.608540963986193,42,77,0.0899521485407768,38,73,0.38483345710625,23,58,0.470251171583253,43,78,0.047169834778464,38,73,0.122699992203387,37,72
"L047",37.7197368421053,74,0.0519410596017118,24,98,0.0593262343369378,22,96,0.169021735075985,22,96,0.98607137601571,27,101,0.551125267478904,22,96,0.0974498652027288,29,103,0.00316549207601,29,103,0.303739060453694,22,96,0.0623069873161931,21,95,0.500132086573901,38,112,0.334344940220511,24,98,0.0335397701323194,16,90,0.0846658401256317,14,88
"L048",37.725,73,0.0923065584956204,39,112,0.0390530758198936,10,83,0.111317094914408,10,83,1.08672139701238,29,102,0.646612748276592,32,105,0.144931230471256,49,122,0.0070016871886374,49,122,0.418108046233807,32,105,0.0534406095006367,11,84,0.319468817196569,14,87,0.388173324623217,31,104,0.0333971574134991,15,88,0.0821431612639397,13,86
"L049",40.6,14,0.0654611016162008,31,45,0.0867989604453702,39,53,0.247409811604033,39,53,1.03672139701238,28,42,0.636014434810643,31,45,0.10931144315392,32,46,0.00398299720146419,32,46,0.404514361287502,31,45,0.0899623191395409,39,53,0.348112373681658,18,32,0.409095253131188,35,49,0.0475604424681943,39,53,0.128248764486155,38,52
"L050",37.3125,81,0.544967485826434,99,180,0.321102039989028,96,177,0.91518648914194,96,177,3.21501874443679,91,172,2.0405945074319,99,180,0.274689045017893,101,182,0.0251513571509474,101,182,4.16402594376123,99,180,0.322813359486074,96,177,1.47755453486768,97,178,1.23390213027241,101,182,0.167916608424448,100,181,0.466408352784248,100,181
"L051",38.1,60,0.0042372151497655,1,61,0.0294454515467283,7,67,0.0839329772577288,7,67,0.270992557857403,1,61,0.179395742449588,1,61,0.0248276328226971,1,61,0.000205470450526222,1,61,0.0321828324090388,1,61,0.029731406527628,3,63,0.0904557716372647,1,61,0.0914277032566352,1,61,0.0122344449047074,2,62,0.0343190417880287,2,62
"L052",39.65,23.5,0.104522374076596,43,66.5,0.0535768440017283,18,41.5,0.152663927834037,18,41.5,1.13253101939586,36,59.5,0.711529345755974,38,61.5,0.150428034535027,54,77.5,0.00754286452469038,54,77.5,0.506274009871925,38,61.5,0.0646442934248022,23,46.5,0.472231320274986,34,57.5,0.475205692029911,44,67.5,0.0441910758300276,33,56.5,0.110224101972731,31,54.5
"L053",38.5,46,0.0538934320209593,27,73,0.0967431852012409,43,89,0.275717236482652,43,89,1.17099255785742,38,84,0.635513938222372,30,76,0.0869591316590283,20,66,0.00252063019296407,20,66,0.403877965674909,30,76,0.0972629134020827,42,88,0.503559039506502,39,85,0.388634620397294,32,78,0.0522626441601955,42,88,0.144414707114398,44,90
"L054",38.6375,39.5,0.129581067324778,48,87.5,0.123458005407884,50,89.5,0.351762972995569,50,89.5,1.88498125556322,62,101.5,0.944470578970688,48,87.5,0.13975454339183,47,86.5,0.00651044413288625,47,86.5,0.892024674541227,48,87.5,0.124550319578878,50,89.5,0.928052163945095,69,108.5,0.550066852481015,54,93.5,0.0672274219282854,53,92.5,0.179761017904181,52,91.5
