"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L007",23.90725,86,3.20377252536497,58,2.75862224847267,45,-0.0144329539480762,45,1.75996425,56,0.150410908608013,58,94.3316206850275,82,93.5190053659858,97,94.2900060203866,77,21.5119190493136,58,0.988989629120226,0.214473542229024,89,0.74544802697243,75,0.112601025033624,65,0.111214739069462,56,0.307852965328928,56,1.25003126525396,65,0.669451253037913,58,0.177765159543772,72,0.0105334839825409,72,0.448164980194032,58,0.114842081711932,57,0.557372765472475,49,0.569745604919808,75,0.0830444131501285,64,0.178744521495353,62,0.165025098230929,61,23.8955326539056,86,0.969311822072102,86,0.969163189641057,86,5.35249615625,85,4.6393953125,92,6.065597,77,23.8980159191199,86,9.5,74.5,1414.25,65,16.4624,75,1.4194,81,31.25,82.5,0.38109756097561,41,0.3984,36,0.1162,55
"L008",23.76475,89,2.58704272982334,37,2.16380544665829,22,-0.225381003648099,22,1.13395275,33,0.180262167137505,68,93.5775020465523,88,94.7889755146133,93,93.7501601043983,82,25.7278352539394,68,0.722895665898688,0.206972163381032,87,0.618150214284459,84,0.0973497462570972,56,0.158511022914771,79,0.43870123507683,79,1.24122532132038,64,0.732117864684645,68,0.13319635342163,43,0.00591375618827322,43,0.535996567790404,68,0.158522175536441,79,0.495504586956982,42,0.398269688779298,44,0.0808195297099631,61,0.18724086429374,67,0.170113988862767,63,23.7597820433726,89,0.963704282026515,89,0.963535140252465,89,5.77253015625,89,5.4365153125,96,6.10854499999999,78,23.7587041902087,89,9.3333,72.5,1252,56,30.6316,92,2.1053,96,23,50.5,0.252747252747253,22,0.3563,27,0.1085,50
"L009",27.0985,1,1.0373396326482,3,1.64195326854876,9,-0.465095837844906,9,0.237057499999999,4,0.18950073653407,71,106.545295373489,1,106.912138778045,1,108.3987091958,2,27.0326055164086,71,0.37843401601206,0.0129531608641467,23,0.810334583102707,65,0.120429074019046,68,0.13083980835241,64,0.362350985397823,64,1.20536882752606,60,0.750452717758984,71,0.162175604066395,64,0.00876697551810004,64,0.563179281591845,71,0.131210630772775,64,0.948295304706597,86,0.522044746178577,69,0.0864017434110771,73,0.189128104352013,70,0.179861864301896,70,27.0772451479425,1,1.09805991729483,1,1.09783454077055,1,0.0026100312499999,1,0,1,0.0052200624999998,1,27.0974062133468,1,7.3333,62,1427,67,0.029,1,0.029,1,27.5,67,27.5,104,21.8098,104,4.8889,104
"L010",26.3525,6,2.55886996268177,36,3.53654724359987,77,0.201341505167057,77,1.3641475,46,0.384701777824871,92,102.609073230062,8,101.307916481142,18,105.799210084239,5,54.6009987325556,92,0.584477941972247,0.443436131861558,96,0.33590205490202,97,0.263561525895384,94,0.199185718143052,90,0.551257474953836,90,1.61567477145965,85,1.06654620477889,92,0.263247251845216,99,0.0230997052013529,99,1.13752080692824,92,0.203381880955208,91,0.651281517431427,62,0.748831034556701,93,0.113451266935972,87,0.249115468747754,87,0.231487604871929,87,26.3279260445536,6,1.06793133548371,6,1.06756118678256,6,0.45512240625,6,0.509571812500001,8,0.400672999999999,5,26.346032902789,6,6.1667,56.5,1584.6667,75,0.7201,10,0.1476,9,24.5,58,5.44444444444444,100,5.1074,99,0.9136,99
"L011",25.3585526315789,19,4.01509158921682,86,4.6035523998607,93,0.430368758782456,93,3.11000503324099,87,0.165502906507681,61,100.203585905026,25,100.471676806218,30,101.680152257948,24,23.6433735219136,61,1.4756816289344,0.0850033725212498,63,0.939208447941581,39,0.135809745127844,73,0.103185551743332,53,0.285637338387131,53,1.20020068077569,57,0.701833514237197,61,0.203466371427643,79,0.0137995214339772,79,0.492570281706533,61,0.109082575246952,53,0.573597230290206,52,0.608343241837639,81,0.083339885440236,66,0.17646589096017,61,0.162916840113628,60,25.3255840212638,19,1.02749641939995,19,1.02736105364729,19,1.82051735915858,24,0.841245468317173,15,2.79978924999999,34,25.3433419206686,19,1.5,17,1256.25,57,6.9683,43,0.5206,30,21.25,42,0.708333333333333,75,1.1693,87,0.0571,27
"L012",24.1195,79,4.56666405059618,95,4.10470567853234,86,0.330746621388904,86,3.6396195,94,0.20964806267273,74,94.579157795335,81,96.9513239146692,72,93.3466049826973,85,29.8780278849156,74,1.62468444660055,0.0399865019363939,40,0.972791581177535,26,0.138604512356862,74,0.131576271255477,65,0.364424136926194,65,1.21235649379432,61,0.788960654449306,74,0.178835062721451,73,0.0106606598861951,73,0.622458914269077,74,0.132499047997062,65,1.01203272624046,90,0.564578193647587,74,0.087635220746908,74,0.18876616536541,69,0.17514197253671,66,24.0890421036134,79,0.977544139061048,79,0.97732045702096,79,4.84182446875,80,2.930385625,70,6.75326331249999,84,24.1004951013922,79,8.1667,68,1409.5833,64,29.5,90,1.7143,88,24.75,59,0.311320754716981,32,0.4223,38,0.1061,49
"L013",22.952875,103,2.28105398640706,27,1.61137605572489,8,-0.481423611051974,8,0.8223686875,21,0.0747953939756998,33,91.3769087662102,99,92.6876573904499,101,90.5827122790192,100,10.8326817520125,33,0.722422867108633,0.051638429826219,47,0.851244156849683,60,0.0490825852877635,31,0.0788847937944037,35,0.218515039057397,35,0.81289350620568,35,0.47505880671091,33,0.10383260852018,29,0.00359373686403501,29,0.225680869833594,33,0.0790356564997892,33,0.647218580523658,61,0.274219148376162,26,0.0429598479605463,27,0.0919300464404656,29,0.0932384688895277,31,22.9565851675013,103,0.931031136688229,103,0.930968206993121,103,8.7783883125,103,7.8115500625,103,9.74522656249999,99,22.9484040353415,103,9.8333,78,696.9167,29,3.5263,27,1.4737,83,15.75,21,0.155940594059406,6,0.2281,7,0.0981,45
"L014",24.318625,71,2.67491551935793,42,2.50232306186595,36,-0.0991306660081447,36,1.2694611875,40,0.0230848244493734,13,97.5270046781849,57,98.3705487547199,58,96.7360232896538,61,3.52955824044804,13,0.945797430094943,0.025268219045309,31,0.945180107424065,36,0.0158954298519194,13,0.048221773814674,19,0.13352558158521,19,0.430449450139261,13,0.271168699046678,13,0.0599468525622763,12,0.0011978750440411,12,0.0735324633426676,13,0.0485267850812408,16,0.315031150336316,24,0.206755785514142,14,0.0335659206738099,16,0.0734689406372655,17,0.0718367287439566,20,24.3082794977927,71,0.985893057123998,71,0.985868963210391,71,4.0312776875,69,3.0767540625,73,4.98580131249999,63,24.3121130149714,71,7.1667,60.5,341.6667,12,8.9291,55,0.8369,59,14,16,0.191780821917808,10,0.2295,8,0.1027,46
"L015",25.04325,32,2.59026917556016,39,2.79472742607012,47,-0.00313850914864796,47,1.26238675,39,0.0727070065319501,32,99.6573511370903,30,101.167201084054,21,98.3184297414119,48,10.5377371868797,32,0.888735624129696,0.0919377389408715,66,0.839248339924794,62,0.044855511140252,27,0.0863592130085286,41,0.239129441567475,41,0.728968734746031,28,0.468546893483808,32,0.0960768870509966,26,0.00307692274180332,26,0.219536191393327,32,0.0863686573209392,40,0.561623334076795,50,0.300666767242728,28,0.0549591902283128,36,0.123053468789444,38,0.11800167976764,41,25.0279768947647,32,1.01508787939727,32,1.01501386366477,32,2.25396496875,31,1.5306953125,30,2.977234625,38,25.0369507300701,32,11.1667,88,760.9167,33,8.122,50,0.5436,33,18.25,31,0.588709677419355,68,0.7185,70,0.3358,92
"L016",24.324,70,2.45970808875676,31,2.3034736328185,28,-0.171050932195357,28,1.0738865,30,0.0114643538923212,6,97.8735870736986,51,97.7034535192461,67,98.0618771259894,49,1.88839024485177,6,0.885639636629167,0.00137189215075934,4,0.979700767131216,18,0.0105972925196523,10,0.0273906956837029,5,0.0758626719476501,5,0.305949450139241,5,0.198346826126388,6,0.0555808094603267,11,0.00102974212675505,11,0.0393414634344114,6,0.028783897750898,4,0.220226887995228,11,0.164052684766924,10,0.0217313547980961,6,0.0451048424393598,5,0.040290769453416,4,24.3153411317095,69,0.986138172691641,69,0.986126665984414,69,4.00368440625,67,3.2405125,77,4.7668563125,62,24.3184915095515,69,3.3333,41,184,4,9.9489,61,0.8029,55,11,8,0.153846153846154,5,0.166,3,0.0471,25
