"genotype","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R","trait","dev_year"
"L021",51.95,58.5,6.33961077750738,15,6.25314770385017,11,-0.122100056909604,11,32.54,14,0.270371732971926,53,97.7919046071625,61,98.074819182034,61,NA,25,38.7415781804131,53,0.876801963036557,0.0591276291063296,28,0.994836858089699,37,0.118032995899973,48,0.136479930345075,58,0.428003497206114,58,1.53882767859706,54,0.898396467096759,53,0.132387143783399,45,0.00584211861304209,45,0.807116212091939,53,0.136480005224382,58,0.807977795738441,68,0.473234008093738,47,0.071840981104266,61,0.193070875932778,59,0.17552971264105,57,51.7799004648183,56,0.99442002999247,58,0.99436533402228,58,11.37125,59,12.69125,68,7.41125000000001,39.5,51.8687526368898,58,1.6667,19.5,1172.5625,56,15.4375,81,1.0833,76,28.625,68.5,0.497826086956522,62,0.5203,60,0.0292,16,"DTF",2024
"L022",54.45,13,7.06573631023251,38,7.81424504083608,87,0.0714766204009007,87,44.405,61,0.121365316264398,34,103.114120713603,5,102.867984247125,6,NA,26,17.6972873284874,34,1.02289501484494,0.14843388652311,51,0.992194096327142,49,0.0637754752750405,34,0.0847779817449215,39,0.265910128281156,39,1.00069834018863,32,0.607201355408693,34,0.110454947801066,36,0.00406676516457874,36,0.368693486010154,34,0.0874186811066889,36,0.438939134704236,36,0.433920790644764,40,0.0529452764669328,41,0.136806436199333,41,0.13602718932087,40,54.2220419034761,13,1.0416278887809,13,1.04160458677407,13,2.46312499999999,12,2.58374999999999,11,2.10124999999999,17,54.3442753837923,13,8.5833,71.5,619.7292,31,0.3261,6,0.1024,5,17.875,34,1.66279069767442,91,1.7599,90,0.7007,95,"DTF",2024
"L023",52.1875,50,6.96062904998442,34,6.9423603428848,25,-0.0312831272999448,25,39.586875,33,0.120282699668235,33,98.78145689714,42,98.5510007952101,51,NA,27,17.5443885538306,33,0.965721556906242,0.133138561063953,48,0.992016785824226,51,0.0663298133761861,35,0.0819832189184904,37,0.257162155061602,37,1.01452601878572,34,0.604572654750006,33,0.115847016625908,41,0.00447351042037445,41,0.36550809487147,33,0.0855375119023974,34,0.396131009034145,32,0.42974305276694,38,0.0510563239757997,39,0.131506622063503,39,0.123343675253591,37,51.9855598335775,47,0.998643398893042,49,0.998619739357275,49,10.1221875,51,10.7625,49,8.20124999999999,43.5,52.0890115849284,49,8.6667,73.5,658.9167,34,7.5561,59,0.6368,53,14.75,23.5,0.337142857142857,33,0.4514,46,0.176,71,"DTF",2026
"L024",53.3875,24,7.13556578962989,43,7.52182051638222,70,0.0383485011786088,70,43.536875,56,0.429457203860862,73,100.132053454286,26,99.6207443549605,34,NA,28,61.2093416074905,73,1.00182278534901,0.612650665458209,86,0.970713223894317,85,0.174240443392206,66,0.190435808859544,75,0.597314366717745,75,1.81783830612737,67,1.12924515355291,73,0.155980851403351,61,0.00811000866817147,61,1.27519461682273,73,0.190484457966899,75,0.900587468451034,77,0.622632843895515,69,0.0966709502505448,78,0.26302328906182,78,0.247976183090591,79,53.1681813207045,24,1.02143143933346,24,1.02134963910981,24,5.3471875,24,5.72791666666667,22,4.205,25,53.2824526961075,24,8.5,70,1556.25,73,2.0496,34,0.2362,27,29.25,71,1.15841584158416,84,1.3332,85,0.3317,83,"DTF",2024
"L025",52.875,31,7.27763868549869,59,7.49353066961591,67,0.0350755470586176,67,44.4225,62,0.0319291523033535,9,100.652005126972,22,100.559399085189,25,NA,29,5.06614909522051,9,1.02622748808505,0.0134129881175526,8,0.998276113325856,15,0.0188001962057536,10,0.0397835716161893,7,0.124746826108562,7,0.550698340188644,7,0.324876550118807,9,0.0598387710113998,10,0.00119355950538491,10,0.105544772817098,9,0.0411441648858848,7,0.276635616838452,12,0.226570336405054,13,0.0262551481841114,10,0.0662248224595414,10,0.0685124375909345,14,52.6494380433839,31,1.01155085284827,31,1.01154595374254,31,7.18687499999999,31,7.30083333333332,31,6.84500000000001,37,52.7655543006785,31,4.4167,45,254.3958,7,0.587,13,0.1739,19.5,10.125,5,0.304511278195489,29,0.417,39,0.1333,58,"DTF",2026
"L026",54.9164473684211,5,6.81127889621311,30,7.69089591276218,83,0.0576564362487921,83,41.9742988227146,46,0.346160432433613,65,103.098848249455,6,102.803254164733,7,NA,30,49.4452745043859,65,0.986178655226975,0.486156299950929,78,0.975650195283413,79,0.142679284244961,61,0.17667104684239,73,0.554196806931099,73,1.90204883244323,72,1.01494329176957,65,0.145767046238864,53,0.00708267725640099,53,1.03010988550805,65,0.177653433240021,73,0.698128792897694,55,0.621840494333338,67,0.0893525812803072,72,0.241074348275495,74,0.233206152041293,75,54.7004384362679,6,1.05068614523179,6,1.05060620844485,6,1.55363313711911,4,1.78984418282548,4,0.844999999999996,11.5,54.8180794682123,6,12,88,1627.5833,78,0.3108,5,0.0978,4,33.75,84,4.21875,98,4.4366,100,1.5238,102,"DTF",2025
"L027",51.7375,67.5,7.21147210260866,50,7.04249201930579,34,-0.0188447041962235,34,41.7618750000001,44,0.190132519557623,43,97.6611361263702,65,97.3692685170854,79,NA,31,27.4093323474368,43,0.989107520260283,0.258139203335295,62,0.986446207546522,62,0.134959333938501,55,0.0409836361385056,10,0.128478592483298,10,1.27761394715302,44,0.755663785845444,43,0.180703289396222,72,0.0108845595995383,72,0.571027757238269,43,0.0594678689269839,24,0.471439348995511,38,0.484626407828983,49,0.0403741629895396,28,0.0909552336771005,25,0.0786748574888825,19,51.5259711426149,66,0.989965174756732,66,0.989929124709743,66,12.2171875,69,12.6079166666666,66,11.045,61.5,51.6321627720944,66,10.25,81,976.3958,47,17.2994,85,1.2298,83,24.375,55,0.353260869565217,38,0.4077,35,0.1544,62,"DTF",2026
"L028",52.8125,32,7.9026794045699,82,8.11371744799079,99,0.104142328320692,99,52.256875,88,0.627941861675085,81,98.6270410648382,47,98.5276032270877,52,NA,32,89.2414825111078,81,1.09843107615725,0.700735852474588,90,0.972229011311952,82,0.312762394102678,85,0.164821849915609,68,0.516685310230706,68,2.61117232140297,88,1.36352394636645,81,0.232615398314361,87,0.0180366411776497,87,1.85919755231475,81,0.167031450526968,68,1.32679803206685,95,0.75520802276655,80,0.083662668267827,69,0.204460145225137,63,0.199833076868441,64,52.5548517438932,32,1.01010772973221,32,1.00999485985434,32,7.44218749999999,32,7.12124999999999,30,8.40500000000001,45.5,52.6837539364819,32,2.1667,22.5,2148.9167,92,12.9631,74,0.8266,64,39.25,92,1.08275862068966,81,1.0777,79,0.0582,30,"DTF",2025
"L029",52.375,42,6.09310571331173,10,6.13040532917776,8,-0.139319051045546,8,30.5525,9,0.666245721565133,82,97.5585161025528,68,98.0480766201731,63,NA,33,94.6511661078857,82,0.83937118740279,0.41784352600956,74,0.971019051417561,83,0.24719122448063,79,0.264981149375918,93,0.831268232284705,93,2.46783830612746,84,1.40424331720478,82,0.179241896815648,70,0.0107092191913571,70,1.97189929391429,82,0.265461463566164,93,0.858960402434991,72,0.677133735885246,75,0.109087925368283,82,0.303724786838619,84,0.28591855294197,85,52.2152130380694,40,1.00267726535916,40,1.00252904797929,42,9.40312499999999,41,10.9870833333333,52,4.65124999999999,26,52.3002496678915,40,7.5833,67,1696.8958,83,21.4376,93,1.1492,77,33.625,83,0.682741116751269,74,0.7299,71,0.1552,64.5,"DTF",2026
"L030",56.1125,1,8.19535478183224,90,9.75205068962839,104,0.263894468811604,104,63.4418749999999,102,1.28583155444407,98,104.360855664933,1,104.353100795881,1,NA,34,182.155749889863,98,1.20825876093551,0.959427292814494,94,0.968969896221127,87,0.607664225560117,101,0.246389915499582,88,0.772385228886654,88,3.81117232140294,100,1.94805324774217,98,0.312691041632713,102,0.0325918958391171,102,3.79491145603883,98,0.246809235007108,88,1.96095127324595,104,0.917804161662851,93,0.111453483222392,83,0.278150865542104,81,0.278979159684526,83,55.8052194855064,1,1.07271312321539,1,1.07255832826897,1,0.301562499999999,1,0.120416666666667,1,0.844999999999996,11.5,55.9658371029117,1,1.4167,13.5,2977.2292,103,0.7732,18,0.1508,14,47.125,103,31.4166666666667,104,12.1945,103,0.3656,87,"DTF",2025
