"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L012",92.5711735202015,6,0.106315930344679,33,39,0.14653748001489,51,57,0.467770217269634,51,57,1.65635899776324,34,40,1.05969776996144,40,46,0.101448485913236,26,32,0.0034305984313627,26,32,1.12295936366124,40,46,0.146988453765577,48,54,0.550125784986402,45,51,0.511590798549741,33,39,0.0631662392270949,44,50,0.203642661317375,47,53
"L013",91.1,27,0.375485775998208,81,108,0.234473941431586,78,105,0.748566283695933,78,105,3.4556257141595,87,114,1.89719411209041,80,107,0.202024705128423,80,107,0.0136046604940754,80,107,3.59934549895054,80,107,0.238982930435311,78,105,0.996721390067757,85,112,1.04798680094357,86,113,0.117377520332969,87,114,0.368431057487105,87,114
"L014",89.4459703366798,65,0.0244129376474772,7,72,0.00571236910281828,2,67,0.0182320309812897,2,67,0.677696998160025,2,67,0.403883727971803,2,67,0.0604927956700996,10,75,0.00121979277599481,10,75,0.163122065720401,2,67,0.0272558013695415,2,67,0.156924752078628,2,67,0.1681165490783,2,67,0.0121314812275526,2,67,0.0327319603390837,1,66
"L015",88.7125,79,0.742655324481832,96,175,0.238297430626528,79,158,0.761317386340005,79,158,4.64852650610065,98,177,2.51135993593059,96,175,0.298231416891354,98,177,0.0296473260070082,98,177,6.30692872779732,96,175,0.24855450006741,82,161,1.4476193998071,97,176,1.23365818204973,98,177,0.116074712836112,86,165,0.341088732893167,81,160
"L016",89.2625,68,0.252163173664467,67,135,0.153423517537565,56,124,0.490149003630098,56,124,2.50388883458103,65,133,1.4968546954306,66,134,0.169093293047438,67,135,0.00953084725120887,67,135,2.24057397923263,66,134,0.155189754778209,55,123,0.896244789884194,74,142,0.678358493300704,59,127,0.068488738200888,50,118,0.205659647600134,48,116
"L017",90.6875,39,0.20077842355491,57,96,0.205368513815192,74,113,0.655520751379038,74,113,2.4648768772208,63,102,1.46121777675208,62,101,0.139617487399526,54,93,0.00649768092925225,54,93,2.13515739109628,62,101,0.206803132508862,73,112,0.730086595169071,65,104,0.71086989442162,65,104,0.0867866975893146,69,108,0.279745012057259,70,109
"L018",89.5748680182254,64,0.204573320531687,58,122,0.138550821725264,49,113,0.442225405097972,49,113,2.15615364125798,54,118,1.31182155768371,54,118,0.161253207177594,62,126,0.00866753227502003,62,126,1.72087579920372,54,118,0.151405640058765,52,116,0.584648231145114,48,112,0.709055064104614,64,128,0.0728282197762894,57,121,0.224630440011504,55,119
"L019",88.5731971701651,83,0.188969595911673,56,139,0.0523833318373821,13,96,0.1672715296159,13,96,2.00868481323911,50,133,1.14724104809984,46,129,0.165872876863887,64,147,0.00917127042636742,64,147,1.31616202244522,46,129,0.0878536949930382,24,107,0.479760522541182,35,118,0.601754369478308,49,132,0.0505271265028295,31,114,0.14459897657269,25,108
"L020",90.65,42,0.143882885436472,45,87,0.113927749171294,37,79,0.363660158491695,37,79,1.95562571415945,47,89,1.09811886460344,42,84,0.135150255578123,52,94,0.00608853052761069,52,94,1.20586504079796,42,84,0.124443069098945,39,81,0.503273934276279,39,81,0.622833904672865,54,96,0.0636699405385611,46,88,0.19559804314644,42,84
"L021",87.9665706278986,90,0.160329120706833,51,141,0.186607282867692,64,154,0.595655432174275,64,154,2.05284678684246,52,142,1.31639068066081,55,145,0.122873514213305,44,134,0.00503263349837572,44,134,1.73288442413064,55,145,0.186930404912943,63,153,0.674000836677133,58,148,0.605349500114961,50,140,0.0768076849463447,62,152,0.249487212696112,64,154
