"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"L032",1.58432739115333,1.06630424944739,0.00190965624145968,0.999531731001161,0.000234161915320645,"lodging","Average stability"
"L033",1.44743283903839,1.04875702879819,0.00479881802630326,0.998784479739544,0.000607944928745971,"lodging","Average stability"
"L034",1.73115606160491,1.27523615630139,0.062932199515678,0.989320897309405,0.00535388337891488,"lodging","Responsive / high-input adapted"
"L035",0.0185345370887418,1.00455957161042,0.0454008039339778,0.9876062738546,0.0062161835416113,"lodging","Average stability"
"L036",1.53866554364043,1.00778851499643,0.265752074202234,0.931977996868311,0.0346099250208176,"lodging","Average stability"
"L037",1.35866409620904,0.972347971721445,0.0179260784074537,0.99473913719711,0.00263390011635629,"lodging","Average stability"
"L038",1.97613970693863,1.08054684086358,0.0302152746867311,0.99283326124905,0.00358981275327664,"lodging","Average stability"
"L039",0.123310580632324,0.814760795860664,0.110960180931247,0.955452639385173,0.0225274226940312,"lodging","Average stability"
"L040",0.628223186191625,1.19851082156521,0.00712186140044804,0.998618931253163,0.000690772957057425,"lodging","Average stability"
"L041",-0.015249213899607,0.884437565464045,0.0486586323320655,0.98294465507991,0.00856434647531978,"lodging","Average stability"
"L042",0.989622192600821,1.0317085711527,0.0185919763331316,0.995151509030698,0.00242719111300051,"lodging","Average stability"
"L043",0.632787553457745,0.864791631908566,0.0434937808498144,0.984036745950185,0.00801373701538352,"lodging","Average stability"
"L044",0.592786407689097,0.78263917514147,0.0258249825359409,0.9883762813307,0.00582884706369606,"lodging","Stable / low-input adapted"
"L045",0.72011618332707,1.03679241206059,0.181771714103565,0.954956495346396,0.0227812448860816,"lodging","Average stability"
"L046",0.774761858995439,1.05657488086556,0.0214978849662459,0.994657131604237,0.00267501204259555,"lodging","Average stability"
"L047",1.58741340863649,1.20068204851762,0.0118296745117089,0.997716348894342,0.00114247818102608,"lodging","Responsive / high-input adapted"
