"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L061",2.5875,76,12.7570385316189,45,11.5607231484814,39,-0.109871111409309,39,0.326875,36,0.018110389730573,12,76.0084915586372,63,74.0659243229428,66,78.9923769348707,60,2.79291243786781,12,1.21802962869243,0.0145633210906836,21,0.849204035333609,27,0.0164638075518835,13,0.0329506479688326,11,0.117291410706474,11,0.41057270580297,10,0.241217071926745,12,0.0697225402833247,12,0.00162041087451994,12,0.0581856757889123,12,0.0337928067245803,11,0.275144321527689,17,0.193780108228332,13,0.0255300194170223,13,0.0502766144390229,12,0.0511478506353823,11,2.5671946089922,74,0.842719558870787,77,0.841141752362906,73,1.9715625,74,2.040625,69,1.9025,78,2.57248130896116,74,1.1667,24.5,250.4167,10,3.592,27,0.544,33,11,8,0.151202749140893,6,0.1858,7,0.0158,22
"L062",3.0875,48,17.2084622178624,68,17.5318602270898,69,0.251814885743906,69,0.846875,70,0.0795844179383478,33,84.9416610010609,44,99.9836926982423,31,87.8530509430681,52,11.4749367293657,33,2.12428608368913,-0.00880196003583577,15,0.9969760960032,1,0.0518222374383154,29,0.102455561267657,46,0.365133474128471,46,0.915468960863692,38,0.488938832433859,33,0.107943378477801,28,0.00388392431906725,28,0.239061181861786,33,0.10246293613689,46,0.524697827606402,39,0.331520307270377,32,0.0634401743246465,41,0.139744381294977,42,0.127129471152995,41,3.02920939122533,50,1.00004334195571,48,0.995467680375174,48,1.1278125,47,0.883125,40,1.3725,59,3.05337293247183,49,1.1667,24.5,1048.2292,46,9.306,49,0.7667,49,26.875,63,0.502336448598131,56,0.5511,54,0.0229,28
"L063",2.75,67,11.402962255895,37,10.7593042813229,33,-0.172272733681311,33,0.295,32,0.00691442596494982,4,83.6950678011354,46,85.0164016958809,53,84.0344435477348,57,1.21169786296899,4,1.22088093772022,-0.0020247402003334,5,0.945371836039676,11,0.00777417979614103,6,0.019006155918696,5,0.0676457292228633,5,0.26057270580297,4,0.158882678346385,4,0.0501772285057872,8,0.000839251420173994,8,0.0252437054785207,4,0.0201853321351274,4,0.169692667259677,5,0.132059429203488,8,0.0157590376670611,6,0.0300393450583958,6,0.0258675132439657,3,2.73016447505902,68,0.895083919387009,68,0.894321609662324,67,1.65125,67,1.68125,62,1.62125,70,2.73689954753354,67,1.25,27.5,110.5,3,2.6561,22,0.4459,30,7.25,4,0.114624505928854,3,0.1385,2,0.019,25
"L064",3.0875,45.5,7.4064360237583,19,7.54562490857726,18,-0.480450687985481,18,0.156875,17,0.122714864561441,52,83.094914323985,47,72.5175672794619,71,101.20949297617,34,17.5662828832119,52,-0.0587578154655399,0.0680321228593126,53,0.0041177084455948,101,0.100749672988154,60,0.0869701756090035,40,0.30962304188625,40,1.02424089068826,50,0.604949772074989,52,0.170020207868698,64,0.00963562369457172,64,0.365964226733582,52,0.0885689525705155,39,0.695530486926418,68,0.485569705107515,63,0.0669552597938998,44,0.134000080776198,40,0.124223233612895,40,3.07802993325032,43,1.00920232884911,45,1.00217069019337,44,1.1059375,44,1.44625,55,0.765625,38,3.08116825940373,43,3.4167,47.5,1100.8958,47,23.3721,80,1.107,63,19.875,29,0.444134078212291,46,0.5607,56,0.0667,50
"L065",2.5875,76,22.7754424582765,88,20.6396323246733,89,0.393562799551423,89,1.041875,82,0.140497945630126,60,61.0530897124694,80,81.4395734725903,56,48.1418012283388,102,20.0778011018353,60,2.16643868681649,0.0717779327158477,54,0.842859600047362,28,0.119478298251798,69,0.103240727199598,47,0.367854033505211,47,1.06518640350877,52,0.64675151561856,60,0.193534289174593,80,0.0124851736954383,80,0.418287522954904,60,0.106753085278061,48,0.640087011828965,63,0.58629405883557,82,0.0832754473947235,68,0.171091368383349,64,0.1552818501788,60,2.50096769749935,79,0.838541015965063,78,0.824296383946741,78,2.0240625,75,1.7,63,2.348125,90,2.53238757373865,78,11.8333,100,1312.1667,62,30.3118,90,1.6235,80,24.75,50,0.368029739776952,38,0.429,36,0.1618,78
"L066",2.7375,68,7.36279246419959,18,6.92624359120402,12,-0.554845590776273,12,0.121875,10,0.115470640848564,50,72.560071896794,70,69.2785800046552,76,97.3794119407187,40,16.5431755957625,50,-0.0953295164958075,0.0500049413725395,42,0.0139514132181564,96,0.0621238771751143,39,0.148379082163209,73,0.529009373299483,73,1.0845310391363,53,0.587068557817897,50,0.10674260038945,26,0.00379799424596727,26,0.344649491578386,50,0.148448945239297,72,0.530658512612441,42,0.29182192593739,27,0.0663780464603182,43,0.154752444074678,56,0.143283929744508,54,2.73384359272288,67,0.896689398528865,67,0.889917983322511,68,1.7390625,68,2.348125,76,1.13,49,2.73171513601262,68,0.4167,14,1244.7292,55,15.1308,65,1.2185,70,29.625,73,0.457528957528958,49,0.4746,41,0.0065,11
"L067",3.3875,35,6.85724962596131,13,7.42893427626914,16,-0.493988081083627,16,0.161875,18,0.168504481577838,69,88.3318505475593,39,79.7833029908902,57,105.042084981727,29,24.03318571722,69,-0.405433040260824,0.0554775845517974,48,0.189992538238983,84,0.125527768586697,74,0.116317842371641,53,0.414227236413047,53,1.12424089068826,61,0.70759548409296,69,0.179406729939622,71,0.0107289249158761,71,0.50069136910875,69,0.116570621903056,53,0.835084151138715,79,0.51160209152257,67,0.0818491477468162,66,0.170842777650091,63,0.157854619628417,61,3.375370885668,33,1.10750911629768,35,1.09744200847478,34,0.7190625,35,1.0525,45,0.385625,24,3.38143950278533,34,4.25,56.5,1418.75,71,17.0602,73,0.812,50,25,51.5,0.72463768115942,75,0.8473,75,0.1104,61
"L068",1.7625,104,27.6383503464312,101,19.4192450377643,80,0.340623570241817,80,0.711875,60,0.345137178516263,97,30.1280711943184,103,11.7198956055384,104,66.7235420674898,87,48.9791573771398,97,-0.324481784862508,0.336005276435,95,0.0276729178030324,92,0.189530002103184,92,0.248135555878699,100,0.884613334280808,100,1.71029014844806,96,1.01014806440628,97,0.189254389065123,76,0.011939074593471,76,1.02039911202375,97,0.248135557184882,100,0.952884369990777,96,0.565476373831193,77,0.125910407005703,96,0.289155828261453,98,0.273167386284476,99,1.69234589617901,104,0.583370223325133,104,0.548828938584324,104,4.1121875,104,5.40125,104,2.823125,99,1.70060711922768,104,0.1667,6.5,1740.9167,86,7.4348,42,1.913,85,29.25,72,0.295454545454545,24,0.3641,28,0.0017,2
"L069",2.2625,93,7.07527540047828,17,5.86604549144304,6,-0.699150260153237,6,0.076875,5,0.0233879525100707,15,67.8105061580418,73,64.2712429833011,80.5,75.1269864222632,67,3.53826668887997,15,0.508447567136298,0.00417042248198804,10,0.629195008351962,54,0.0131108831731136,10,0.0689860787001036,26,0.245953032919799,26,0.484531039136305,15,0.271503019047056,15,0.0483147605321341,6,0.000778105361759155,6,0.0737138893516662,15,0.0689877735805679,25,0.246052136309303,14,0.121107812062793,6,0.0297515772705124,14,0.070179809904415,18,0.070678061557063,19,2.26517340164002,88,0.740904576833844,93,0.739984048237875,90,2.6615625,91,3.0625,91.5,2.260625,85,2.25842648154033,92,0.6667,20,357.8958,15,6.8465,38,1.1654,65,15.375,18,0.174715909090909,11,0.1838,6,0.0075,13
"L070",2.025,100.5,10.9499050993005,32,8.43513193861868,23,-0.383657353371813,23,0.1475,16,0.128562459447349,54,50.33593968429,93,51.5049914678674,92,59.7405176818034,92,18.3921432070984,54,-0.129789783746001,0.0620917041041185,51,0.0213681560867759,93,0.0873457622656036,54,0.138430318612902,67,0.493533401784983,67,1.1345310391363,63,0.619006987155946,54,0.152484380611942,56,0.00775049544353584,56,0.383169650147882,54,0.140041153163296,66,0.533884716289812,43,0.452228166190414,56,0.0775013176593316,61,0.170616618253258,62,0.158501824352592,62,2.02673819273279,100,0.666986182798619,100,0.659846526622238,100,3.286875,101,4.1225,102,2.45125,92,2.01601291146421,100,5,66,1424.3958,72,15.5128,67,2.0513,91,30.875,78,0.319121447028424,28,0.3431,24,0.0525,40
