"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"L050",1105.97924028871,0.996840973332072,692.523402051851,0.998165773637087,0.000917534115883376,TRUE,"YLD","Average stability"
"L051",990.228047474135,1.17979505691091,9445.18529595928,0.982422257610231,0.00882783654390754,TRUE,"YLD","Average stability"
"L052",1040.1809626352,0.804041836445412,11703.1114501476,0.95444235008966,0.0230443458940114,TRUE,"YLD","Average stability"
"L053",892.870393412035,1.03925811831376,2663.76238233963,0.993538979710315,0.00323574516823942,TRUE,"YLD","Average stability"
"L054",897.278264529024,0.961030590844742,5815.05130270972,0.98366963261923,0.00819879380027461,TRUE,"YLD","Average stability"
"L055",800.333145800768,0.893183528266063,1530.40618728826,0.994967292721582,0.00251952764899591,TRUE,"YLD","Average stability"
"L056",748.764322837928,0.87903472978611,1743.15466412403,0.99408689261368,0.00296093726791222,TRUE,"YLD","Average stability"
"L057",932.645006939486,1.18533090519563,8271.83962890276,0.984713767380382,0.00767255032404632,TRUE,"YLD","Average stability"
"L058",589.1952564847,0.880052179144403,12145.462021937,0.960292872994228,0.0200546581598401,TRUE,"YLD","Average stability"
"L059",816.371290189104,0.994087880944514,3567.63977845689,0.990570591865785,0.00472587099544038,TRUE,"YLD","Average stability"
"L060",944.945744354542,1.16712834618527,3896.83740391777,0.992513496418611,0.00375028410613307,TRUE,"YLD","Average stability"
"L061",1027.25127656891,1.18758903794644,8392.78564435782,0.984551729179139,0.00775419921314895,TRUE,"YLD","Average stability"
"L062",996.090575771336,1.12485749306402,910.639827977009,0.998105930852027,0.000947483436417879,TRUE,"YLD","Average stability"
"L063",946.933222962039,1.10553008783449,3441.0265703836,0.992631105526098,0.00369125993691188,TRUE,"YLD","Average stability"
"L064",845.532337822407,0.873676190671352,8450.8770364118,0.971635716558495,0.0142841603390482,TRUE,"YLD","Average stability"
"L065",1101.74867719645,1.16373861100842,1458.22907872946,0.99716892634957,0.00141654011816794,TRUE,"YLD","Average stability"
"L066",846.213302398262,1.08161626165321,7600.28222031816,0.983158742631893,0.00845638389837161,TRUE,"YLD","Average stability"
"L067",766.568331796298,0.969910809600692,5362.87314552142,0.985191127923417,0.00743205374976136,TRUE,"YLD","Average stability"
"L068",998.190952603486,1.02184160712794,365.870907786284,0.999076945773222,0.000461633666209934,TRUE,"YLD","Average stability"
"L069",950.418903807822,1.01035816006437,362.129453574635,0.999065509967807,0.000467354226082741,TRUE,"YLD","Average stability"
"L070",951.948654129116,1.20428455195336,321.364859074803,0.999416079058279,0.000292003103766814,TRUE,"YLD","Responsive / high-input adapted"
"L071",668.508498397985,0.926555084317758,2961.51034511463,0.990986240715571,0.00451708165555608,TRUE,"YLD","Average stability"
"L072",788.128801281454,1.00876441439954,1598.92110478762,0.99587409212561,0.00206508622775921,TRUE,"YLD","Average stability"
"L073",662.248168276952,0.838791005990749,56.5107223415349,0.999788261941568,0.000105874633934957,TRUE,"YLD","Average stability"
"L074",672.721192783058,0.6856981806693,4478.5174579978,0.975500163396985,0.01232588198486,TRUE,"YLD","Stable / low-input adapted"
"L075",680.228224399154,1.00508834997351,7656.81089936667,0.980406448326893,0.00984524021398918,TRUE,"YLD","Average stability"
"L076",877.37924127149,1.04709272072296,1403.55009585559,0.996635955340509,0.00168343931370718,TRUE,"YLD","Average stability"
"L077",1082.70066063199,0.981254199923734,2359.69634262245,0.993579582278384,0.00321537818925814,TRUE,"YLD","Average stability"
"L078",783.951493027759,1.18421563270186,3456.38015005074,0.993543245674179,0.00323360526441362,TRUE,"YLD","Average stability"
"L079",694.955528838668,0.70111264204592,1375.13357827839,0.992677740127095,0.00366785652218606,TRUE,"YLD","Stable / low-input adapted"
"L080",851.706661832948,1.09685396372639,13.5096630158544,0.999970392509141,1.48038550065891e-05,TRUE,"YLD","Average stability"
"L081",767.288501771391,1.0510181504961,1368.88236287904,0.996743159247094,0.00162974841640329,TRUE,"YLD","Average stability"
"L082",737.54534594426,0.727930829963847,553.730328823959,0.997252165090635,0.001374862578237,TRUE,"YLD","Stable / low-input adapted"
"L083",971.102305063986,1.00236529350625,4210.54436658375,0.989070979774148,0.00547952269742191,TRUE,"YLD","Average stability"
"L084",944.731557838388,0.853862581594878,19669.0588719305,0.933590301039551,0.0337752326505228,TRUE,"YLD","Average stability"
