"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"CL1",-0.314640722998293,-1802137122647.67,0.148840098518222,0.824280163134138,0.275371420073837,"RepP","Stable / low-input adapted"
"CL2",0.817020258592159,-19232106191.6642,0.0175679538376552,0.961833326143859,0.0192689837963422,"RepP","Stable / low-input adapted"
"CL3",-0.560679240683215,12938956779.552,1.39789959898111,0.125379160333421,0.645910801727275,"RepP","Responsive / high-input adapted"
"Extra",-0.362427839834014,12425597849.3632,0.562557098560486,0.247278042902718,0.502729406758535,"RepP","Responsive / high-input adapted"
"L001",-1.15069519539058,503877346198.384,0.789647529765014,0.0646528331336105,0.8363301448144,"RepP","Responsive / high-input adapted"
"L002",-0.990022620510771,1696540992381.23,0.190726516739708,0.764387802340249,0.322651307551384,"RepP","Responsive / high-input adapted"
"L003",1.35458700351585,-29472175873.2345,1.5417194628552,0.402762543250892,0.365364243639793,"RepP","Stable / low-input adapted"
"L004",0.426068360278215,3711042486.57094,0.771200125907995,0.0209277479166224,0.855335740707588,"RepP","Responsive / high-input adapted"
"L005",1.12736485645453,-1359472687.86483,0.0286639411892116,0.071647489550317,0.732329513113012,"RepP","Stable / low-input adapted"
"L006",-0.667862686386694,-32011421050.4782,0.199314331997216,0.860217195733003,0.0725210537521602,"RepP","Stable / low-input adapted"
"L007",-1.4493354255426,-1662455128216.79,1.50226032085425,0.283414012636182,0.642605726195582,"RepP","Stable / low-input adapted"
"L008",1.64149297956487,3245899638.91588,0.520219446840378,0.0236681355401048,0.846155482580286,"RepP","Responsive / high-input adapted"
"L009",-0.678196033410082,8391895877.62505,0.0902009492277189,0.483077892941655,0.304961948565652,"RepP","Responsive / high-input adapted"
"L010",-1.45756976511393,-717104396.843833,0.957640652546945,0.000642341724795059,0.97465553857753,"RepP","Stable / low-input adapted"
"L011",1.75605848287226,-354133600838.142,0.425504734934942,0.0595863957409975,0.843012836852056,"RepP","Stable / low-input adapted"
"L012",-0.848555168785746,-302384118097.06,0.046777804337999,0.295883613117531,0.633854825887761,"RepP","Stable / low-input adapted"
"L013",1.09497042980854,-24237121491.233,0.0109840672250738,0.984618938954333,0.00772033228815312,"RepP","Stable / low-input adapted"
"L014",-1.05539571167468,-590157023396.047,0.0103224629931096,0.878839905518204,0.226332889433654,"RepP","Stable / low-input adapted"
"L015",0.139233384083838,20839713291.6595,0.121787301117152,0.810188822876007,0.099895104515031,"RepP","Responsive / high-input adapted"
"L016",-0.169381228611519,16842709845.9856,0.0906749168222777,0.789239564131883,0.111608439857805,"RepP","Responsive / high-input adapted"
"L017",0.56346293842163,-26233407034.685,0.106308301563499,0.885696455249676,0.0588855248963193,"RepP","Stable / low-input adapted"
