"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L020",54.575,11,0.203125665752258,74,85,0.14012322466869,60,71,0.43951066293206,60,71,1.75069834018865,64,75,1.0569811987812,68,79,0.202183830649634,79,90,0.01362610045872,79,90,1.11720925457694,68,79,0.146204435855531,61,72,0.730488822544744,59,70,0.76166931624201,82,93,0.0900534332218578,74,85,0.231040615115552,69,80
"L021",51.95,58.5,0.118032995899973,48,106.5,0.136479930345075,58,116.5,0.428003497206114,58,116.5,1.53882767859706,54,112.5,0.898396467096759,53,111.5,0.132387143783399,45,103.5,0.00584211861304209,45,103.5,0.807116212091939,53,111.5,0.136480005224382,58,116.5,0.807977795738441,68,126.5,0.473234008093738,47,105.5,0.071840981104266,61,119.5,0.193070875932778,59,117.5
"L022",54.45,13,0.0637754752750405,34,47,0.0847779817449215,39,52,0.265910128281156,39,52,1.00069834018863,32,45,0.607201355408693,34,47,0.110454947801066,36,49,0.00406676516457874,36,49,0.368693486010154,34,47,0.0874186811066889,36,49,0.438939134704236,36,49,0.433920790644764,40,53,0.0529452764669328,41,54,0.136806436199333,41,54
"L023",52.1875,50,0.0663298133761861,35,85,0.0819832189184904,37,87,0.257162155061602,37,87,1.01452601878572,34,84,0.604572654750006,33,83,0.115847016625908,41,91,0.00447351042037445,41,91,0.36550809487147,33,83,0.0855375119023974,34,84,0.396131009034145,32,82,0.42974305276694,38,88,0.0510563239757997,39,89,0.131506622063503,39,89
"L024",53.3875,24,0.174240443392206,66,90,0.190435808859544,75,99,0.597314366717745,75,99,1.81783830612737,67,91,1.12924515355291,73,97,0.155980851403351,61,85,0.00811000866817147,61,85,1.27519461682273,73,97,0.190484457966899,75,99,0.900587468451034,77,101,0.622632843895515,69,93,0.0966709502505448,78,102,0.26302328906182,78,102
"L025",52.875,31,0.0188001962057536,10,41,0.0397835716161893,7,38,0.124746826108562,7,38,0.550698340188644,7,38,0.324876550118807,9,40,0.0598387710113998,10,41,0.00119355950538491,10,41,0.105544772817098,9,40,0.0411441648858848,7,38,0.276635616838452,12,43,0.226570336405054,13,44,0.0262551481841114,10,41,0.0662248224595414,10,41
"L026",54.9164473684211,5,0.142679284244961,61,66,0.17667104684239,73,78,0.554196806931099,73,78,1.90204883244323,72,77,1.01494329176957,65,70,0.145767046238864,53,58,0.00708267725640099,53,58,1.03010988550805,65,70,0.177653433240021,73,78,0.698128792897694,55,60,0.621840494333338,67,72,0.0893525812803072,72,77,0.241074348275495,74,79
"L027",51.7375,67.5,0.134959333938501,55,122.5,0.0409836361385056,10,77.5,0.128478592483298,10,77.5,1.27761394715302,44,111.5,0.755663785845444,43,110.5,0.180703289396222,72,139.5,0.0108845595995383,72,139.5,0.571027757238269,43,110.5,0.0594678689269839,24,91.5,0.471439348995511,38,105.5,0.484626407828983,49,116.5,0.0403741629895396,28,95.5,0.0909552336771005,25,92.5
"L028",52.8125,32,0.312762394102678,85,117,0.164821849915609,68,100,0.516685310230706,68,100,2.61117232140297,88,120,1.36352394636645,81,113,0.232615398314361,87,119,0.0180366411776497,87,119,1.85919755231475,81,113,0.167031450526968,68,100,1.32679803206685,95,127,0.75520802276655,80,112,0.083662668267827,69,101,0.204460145225137,63,95
"L029",52.375,42,0.24719122448063,79,121,0.264981149375918,93,135,0.831268232284705,93,135,2.46783830612746,84,126,1.40424331720478,82,124,0.179241896815648,70,112,0.0107092191913571,70,112,1.97189929391429,82,124,0.265461463566164,93,135,0.858960402434991,72,114,0.677133735885246,75,117,0.109087925368283,82,124,0.303724786838619,84,126
