"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L007",1.30275391160171,88,0.0534884372560588,80,168,0.114696674508025,87,175,0.498475387030654,87,175,0.571982002387003,79,167,0.349818839565951,81,169,0.158681483777746,79,167,0.008393271097969,79,167,0.122373220515268,81,169,0.114754979794626,87,175,0.573370478374552,85,173,0.356139171143739,82,170,0.0955021346921233,87,175,0.148817868886672,88,176
"L008",1.28904509564564,90.5,0.00558916358919489,28,118.5,0.0465884752867282,42,132.5,0.20246601531367,42,132.5,0.22311114020783,38,128.5,0.123055959623088,30,120.5,0.0468223804611812,24,114.5,0.000730778437350535,24,114.5,0.015142769198759,30,120.5,0.0466450366554976,42,132.5,0.204789376723907,35,125.5,0.104066653384592,28,118.5,0.0318472979460205,34,124.5,0.0517743885761612,36,126.5
"L009",1.43433979917851,61,0.000409396338826763,5,66,0.00461925734951652,4,65,0.0200833385992306,4,65,0.0483378857877427,4,65,0.0262071206074749,4,65,0.0156822906057465,5,66,8.19780795476947e-05,5,66,0.000686813170534736,4,65,0.00464816692300681,4,65,0.0405845290296839,4,65,0.0256804244775098,4,65,0.00450467426162525,5,66,0.00598741708331878,5,66
"L010",1.55784667372874,42,0.02519895364703,60,102,0.0743962779668185,68,110,0.323333281641154,68,110,0.372887944583929,60,102,0.235993058559702,62,104,0.110570437888566,60,102,0.00407527391162305,60,102,0.0556927236883628,62,104,0.0744161287516338,67,109,0.385468449691835,63,105,0.23834032428919,59,101,0.0632596719431533,63,105,0.0980789115216956,67,109
"L011",1.43433979917851,61,0.00040939633882675,3,64,0.00461925734951626,2,63,0.0200833385992295,2,63,0.0483378857877398,2,63,0.0262071206074743,2,63,0.0156822906057464,3,64,8.19780795476936e-05,3,64,0.000686813170534703,2,63,0.00464816692300659,2,63,0.0405845290296825,2,63,0.0256804244775103,6,67,0.00450467426162507,3,64,0.00598741708331839,3,64
"L012",1.22123239860059,93,0.044095403266189,77,170,0.11331893241833,86,179,0.492478752897276,86,179,0.563101872628457,78,171,0.326955483641446,78,171,0.139960504109351,74,167,0.0065296475701812,74,167,0.106899888283212,78,171,0.113392802008182,86,179,0.539319939361838,82,175,0.325215961617996,78,171,0.0900933190660647,82,175,0.141922045425266,84,177
"L013",1.20348407613123,95.5,0.0112533373170098,42,137.5,0.0664141133980794,59,154.5,0.288624940719133,59,154.5,0.318004256127173,52,147.5,0.175008223838429,49,144.5,0.0661807801804099,43,138.5,0.00145996522176258,43,138.5,0.0306278784110818,49,144.5,0.0664903412398292,59,154.5,0.291493414164619,52,147.5,0.145672878234025,44,139.5,0.0449940517811871,48,143.5,0.0733020268617675,47,142.5
"L014",1.34069976663752,81,0.0123738505894733,53,134,0.0601517752748636,54,135,0.261416590675476,54,135,0.298213390498788,48,129,0.173281729223255,48,129,0.0741505363917243,50,131,0.00183276734906014,50,131,0.0300265576826016,47,128,0.0601960307132024,54,135,0.28574347319896,48,129,0.17303508265187,53,134,0.0478235546708763,55,136,0.0753205787151071,55,136
"L015",1.63128917370328,28,0.0026098466332097,13,41,0.0327559089986627,26,54,0.142351646856662,26,54,0.15646132346958,20,48,0.0853174165903385,18,46,0.0311533909904336,11,39,0.000323511256734276,11,39,0.00727906157364937,18,46,0.0327797413110541,26,54,0.14280375018669,19,47,0.0623582460131128,14,42,0.020739717394645,20,48,0.0343361645662642,21,49
"L016",1.46420664118775,55.5,0.00149695551797923,10,65.5,0.0142749699976444,13,68.5,0.0620452393094553,13,68.5,0.0821157652553282,8,63.5,0.0540973465794919,8,63.5,0.0283323996674623,10,65.5,0.000267574956972273,10,65.5,0.00292652290694166,8,63.5,0.0142751489712891,12,67.5,0.0868648508194951,8,63.5,0.0529404040954572,8,63.5,0.0131329219097224,11,66.5,0.0198473143369453,11,66.5
