"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L007",13.8625,27,15.6261122800849,43,16.0184278265117,74,0.0160325212839367,74,14.076875,45,0.0170044589547157,56,98.8681799618223,39,98.6315427722738,69.5,NA,11,2.44693030910183,56,0.997243880137139,0.0207861742877139,73,0.996386230555441,74,0.0383142383540672,66,0.0608742140157884,48,0.275729649440939,48,0.446153576966143,61,0.225782450099548,56,0.183668232297457,71,0.0112446731850909,71,0.0509777147729548,56,0.063026508651047,51,0.331265730021047,46,0.291066027076938,67,0.0593301218831118,52,0.0836153522962966,50,0.0706457453112923,53,13.5769460749387,29,1.0034986774492,29,1.00346497436826,29,0.0715625,26,0.05375,37.5,0.125,31,13.7291800326943,29,5,50,1687.0625,80,54.3112,68,1.7759,69,33.75,88,0.699481865284974,82,0.7911,84,0.1099,55
"L008",13.95,7,14.6267010206001,10,15.5722629966175,33,-0.00850379666856939,33,12.49,10,0.0281076448632717,72,98.7319120386923,44,99.0888287615303,47,NA,12,4.01504179587935,72,0.939828064170454,0.0116419803527916,64,0.99739133763971,67,0.0530630371135696,74,0.0647314304637822,53,0.293031632039657,53,0.496845748270019,70,0.289217399339701,72,0.185518273538357,75,0.0114723432722175,75,0.0836467040808198,72,0.0647392573742607,53,0.550003699511653,75,0.294103756013802,68,0.0671550667228923,59,0.092307990639239,57,0.112391827706639,74,13.6655511665421,7,1.00916711352208,7,1.00907809594858,7,0.0475,9,0.0483333333333333,19.5,0.0450000000000002,10,13.8320001238285,7,10.5,82,1441.0625,69,28.2177,42,1.0032,25,29.875,78.5,1.8968253968254,100,1.2767,99,0.4078,100
"L009",13.7125,94,16.1439236516047,76,15.5009563481486,29,-0.0124902697751767,29,14.701875,74,0.00209076322882054,5,98.4287112517784,53,99.1094643224297,46,NA,13,0.340657589660068,5,1.02095693169679,-0.00419770939629356,37,0.999938591956348,5,0.00462996277561647,5,0.0192561326297156,11,0.0871785897363358,11,0.153154251729983,5,0.0842438906860204,5,0.0563773175044699,7,0.0010594673096666,7,0.00709703311791815,5,0.0193901001818372,8,0.1556812102482,8,0.104619113822679,8,0.0217659175710819,7,0.0295022145250852,7,0.0429705872110025,29,13.4475846373024,82,0.994707175465171,86,0.994696014306478,85,0.1378125,81,0.0770833333333336,89,0.320000000000001,78,13.5693254438302,85,5.4167,56,426.75,14,5.4874,7,0.7059,8,17.5,26,0.229508196721311,14,0.2377,9,0.072,40
"L010",13.975,5.5,13.9809829571234,2,15.0459714107008,11,-0.0383667917617375,11,11.4525,2,0.126257148567952,101,96.3254277378496,90,97.8497630027974,89,NA,14,17.8767717037095,101,0.892808782397311,0.100542146734739,96,0.981629991212056,97,0.14556098455855,97,0.253320995814899,102,1.14742344619484,102,0.948958198739485,95,0.610272679895866,101,0.240946435046957,92,0.0193517281872792,92,0.372432743827282,101,0.253323652014891,102,1.16504846109797,101,0.477246009547435,91,0.174107005929504,95,0.274803657258918,101,0.234090637833847,99,13.7067653979367,2,1.01141891230093,2,1.01103676761857,2,0.0381250000000001,4,0.0508333333333334,26,0,1,13.8695293847923,2,11.5,89.5,1754.5625,83,73.9454,82,1.7042,64,26.125,63.5,1.9,101,1.1845,96,0.3755,99
"L011",13.725,84,17.3351590695174,100,16.736219779486,100,0.0541074844330328,100,16.9825,100,0.0514220720712581,85,95.9086946808241,94,99.377770602494,17.5,NA,15,7.30775628463814,85,1.09666352663229,0.00558228622035954,47,0.998795065236856,38,0.0839161746811757,87,0.13461794815606,83,0.609730015032712,83,0.65104180126052,84,0.390185753964222,85,0.236272527000774,91,0.0186082356717771,91,0.152244922596628,85,0.13560456746881,83,0.69158589934347,84,0.496149511463885,92,0.12136837374298,88,0.176945443581282,88,0.122829286969945,77,13.4202022583118,94,0.99420903247255,92,0.994039666835155,92,0.176875,96,0.0520833333333333,28.5,0.551250000000001,99,13.5578238028209,93,15.9167,103,1678.5,79,68.2716,79,1.9721,77,26.625,68.5,0.44375,60,0.5923,65,0.2661,91
"L012",13.9875,2,15.1021533964202,20,16.3401807641618,90,0.0333064569620027,90,13.386875,30,0.104786477230483,95,97.3332944260349,73,96.6357695622178,96,NA,16,14.8444522748183,95,0.963625547835773,0.140650326681745,99,0.978292253753173,99,0.150561681972847,98,0.202111252159965,92,0.91541696666665,92,0.954917072242806,99,0.556110980283654,95,0.28847163982713,98,0.0277386289948511,98,0.309259422392046,95,0.202506325080994,92,1.03914508944907,95,0.644940666758685,101,0.174246268785228,96,0.258348255839019,95,0.203868654287525,96,13.6848947936838,5,1.01095640728162,4,1.01071244702051,4,0.0359375,3,0.0375,9,0.03125,6.5,13.8624151480395,4,10.5,82,2177.6667,98,80.0024,89,1.7651,67,39.5,100,4.9375,104,1.4243,102,0.37,98
"L013",13.8125,47.5,15.0893500776786,18,15.1356338223464,14,-0.0332060317735809,14,13.031875,18,0.0104030450284385,43,98.8825041648025,36,98.7222776614353,62,NA,17,1.51460754228302,43,0.960885301282694,0.00033904576589687,5,0.999234467510912,25,0.0242822415248447,52,0.0271457062338798,16,0.122831864792377,16,0.346845748270019,48,0.177635367530126,43,0.139591951023302,59,0.00649530426349727,59,0.0315543237975628,43,0.0286437254683306,16,0.300879604622494,40,0.221526614908702,48,0.0325408499011034,23,0.0381118204670014,15,0.0225141954729861,6,13.549092682268,41,1.00114529856026,43,1.00112112090052,43,0.0903125000000001,45,0.07,76,0.15125,37.5,13.6866925459919,44,9.4167,75,775.4167,37,37.0429,55,1.6312,62,23,48.5,0.446601941747573,61,0.424,31,0.1656,74
"L014",13.9,17,14.3012945519392,4,14.9005101472013,8,-0.0468049811750657,8,11.855,4,0.0367832554583861,79,98.130911982711,60,98.7793149071794,60,NA,18,5.24030495377408,79,0.916411190260948,0.000665699341200351,8,0.999103363065651,29,0.0718390045963849,86,0.0760842741106099,61,0.344467938147765,61,0.596845748270018,81,0.330413407521991,79,0.22395682042805,86,0.0167188858054139,86,0.109173019870293,79,0.0767706808879673,60,0.604760270072554,80,0.421384736202487,86,0.0868688853315747,76,0.117711246209457,70,0.104160860932763,70,13.6359116890252,12,1.00672019232734,12,1.00660989750461,12,0.0581250000000002,17,0.0625000000000002,57,0.0450000000000002,10,13.7873318862711,12,15.1667,100.5,1927.2292,89,50.1108,67,1.7645,66,35.625,93,0.838235294117647,85,0.8972,88,0.3579,97
"L015",13.925,9,14.9878874512098,15,15.7855674711545,60,0.00331314139287109,60,13.0675,19,0.0213424769633373,60,99.0105323175709,25,98.8771442788135,56,NA,19,3.05959192939649,60,0.961007178517423,0.0164997631333096,68,0.996763133082758,69,0.043952983849339,69,0.0749825175850315,58,0.339630516714672,58,0.504917072242802,73,0.252470787476677,60,0.190982539300876,78,0.0121581101059369,78,0.0637414985290935,60,0.0767588337699323,59,0.394209252972148,55,0.329407342097156,74,0.071016672198067,62,0.101267655619453,62,0.103542599400097,67,13.6363940550263,11,1.0074231183884,9,1.00736830654879,9,0.04125,7,0.0283333333333333,5,0.0800000000000001,19,13.8005355705857,9,11.3333,88,1778.25,85,38.5442,58,1.4659,52,35.75,94,0.940789473684211,88,0.9837,91,0.3053,95
"L016",13.825,40.5,15.9419434651242,66,16.0780827474187,80,0.0192612626439565,80,14.5725,69,0.00879034979170266,39,98.9420755286784,30,99.1611177256406,42.5,NA,20,1.28684535346397,39,1.01567151439231,0.00702362167308805,53,0.998397977318889,53,0.0129604266592044,26,0.0609699655994874,49,0.276156229493308,49,0.295082927757196,38,0.163735390790037,39,0.0855650474460588,24,0.00244045911481543,24,0.0268092781971661,39,0.0611517238071023,48,0.30215700247876,41,0.190460414933036,36,0.0512796134929349,45,0.0763326489722411,46,0.039653112067219,27,13.5350215090999,47,1.00100879611093,45,1.00098640046316,45,0.100625,52,0.0525,33.5,0.244999999999999,63.5,13.6839113038106,47,5.25,54,645.4167,27,24.6034,34,1.2069,35,21.5,43,0.41747572815534,51,0.4716,41,0.1152,56.5
