genotype,mean_BLUP,b,s2d,r2,p_slope,reliable,trait,b_class
L066,53.46930842,1.052162631,0.381474935,0.980831178,0.009630787,TRUE,DTF,Average
L067,51.1052734,1.005898985,0.330961631,0.981786769,0.009148463,TRUE,DTF,Average
L068,55.35526406,0.792284726,1.260867808,0.897728863,0.052514453,TRUE,DTF,Stable
L069,52.11304215,0.854624863,0.095635185,0.992628526,0.003692554,TRUE,DTF,Average
L070,50.79366382,0.777555209,0.48275928,0.956675485,0.021902109,TRUE,DTF,Stable
L071,55.12466512,0.893118033,0.770929176,0.948033739,0.026329758,TRUE,DTF,Average
L072,50.2194645,1.046849957,1.253616586,0.939074803,0.03094128,TRUE,DTF,Average
L073,49.90306004,1.043284417,2.323658062,0.891998051,0.055543515,TRUE,DTF,Average
L074,49.82931641,1.100820403,2.349467221,0.900932827,0.050825186,TRUE,DTF,Average
L075,50.36174548,1.119822949,0.957275772,0.958501532,0.020969085,TRUE,DTF,Average
L076,50.20340628,1.111302244,1.957373432,0.91752399,0.042125274,TRUE,DTF,Average
L077,50.70544675,0.838597572,0.474698921,0.96312806,0.01860912,TRUE,DTF,Average
L078,51.77586911,0.881838392,0.010202025,0.999256491,0.000371824,TRUE,DTF,Average
L079,52.64667867,1.043110195,0.37885547,0.980634826,0.009729923,TRUE,DTF,Average
L080,50.99086009,1.110649347,1.152867311,0.949662065,0.025493938,TRUE,DTF,Average
L081,52.31802821,0.812511586,0.237691589,0.979988638,0.010056245,TRUE,DTF,Average
L082,50.62366351,1.19274386,0.145284676,0.994241383,0.002883466,TRUE,DTF,Average
L083,51.75356763,1.02358815,0.048149005,0.997400396,0.001300648,TRUE,DTF,Average
L084,52.56815401,1.00499112,0.240551177,0.986672249,0.006686228,TRUE,DTF,Average
L085,51.20943721,1.046045441,0.004794676,0.999751543,0.000124236,TRUE,DTF,Average
L086,52.36648765,0.999034869,0.142670734,0.991957932,0.004029151,TRUE,DTF,Average
L087,51.28151822,0.998716505,0.020064792,0.998860391,0.000569967,TRUE,DTF,Average
L088,50.10356085,1.135214986,1.748973129,0.928530004,0.036397383,TRUE,DTF,Average
L089,52.5364166,0.888185875,0.247232063,0.982535892,0.008770515,TRUE,DTF,Average
L090,51.71071395,1.145614643,0.789255113,0.96701809,0.01662922,TRUE,DTF,Average
L091,51.12232197,1.030797787,0.094329099,0.994990222,0.002508034,TRUE,DTF,Average
L092,51.12088649,1.002877287,0.248866199,0.986160549,0.006943834,TRUE,DTF,Average
L093,54.00476591,0.90897502,0.285921503,0.980751243,0.009671144,TRUE,DTF,Average
L094,54.61473053,0.938066467,0.171059494,0.989095169,0.005467362,TRUE,DTF,Average
L095,52.2307176,0.943463222,0.179009575,0.988722788,0.005654593,TRUE,DTF,Average
L096,52.50336077,1.01671214,0.10113819,0.994481554,0.00276304,TRUE,DTF,Average
L097,52.60740774,0.859193995,0.223650839,0.983107651,0.008482148,TRUE,DTF,Average
L098,52.97043545,0.987975652,0.045356016,0.997371547,0.001315091,TRUE,DTF,Average
L099,51.63476408,1.096592742,0.160346894,0.992494171,0.003759983,TRUE,DTF,Average
L100,52.11914898,1.057931663,0.062796599,0.996827936,0.001587292,TRUE,DTF,Average
CL1,37.32484303,1.002825146,0.130380888,0.99551424,0.002245401,TRUE,VegP,Average
CL2,39.62276157,1.108992762,0.187647243,0.994725116,0.002640929,TRUE,VegP,Average
CL3,40.06124208,0.924402567,0.067696855,0.997254148,0.00137387,TRUE,VegP,Average
Extra,37.36449875,1.035919547,0.075377166,0.997564692,0.001218396,TRUE,VegP,Average
L001,41.80870142,1.026829426,0.689130812,0.977788641,0.011168042,TRUE,VegP,Average
L002,38.78905488,0.947605909,0.425521261,0.983796967,0.008134602,TRUE,VegP,Average
L003,37.46141644,1.035072683,0.161015349,0.994803773,0.002601497,TRUE,VegP,Average
L004,37.17850888,1.052943162,0.043518841,0.998637613,0.000681426,TRUE,VegP,Average
L005,38.41695786,1.059456997,0.511142216,0.984419536,0.007820815,TRUE,VegP,Average
L006,40.84850744,0.963197605,0.961230273,0.965241756,0.017532822,TRUE,VegP,Average
L007,39.91467797,0.861691327,0.76449872,0.965451526,0.017426071,TRUE,VegP,Average
L008,38.02679771,1.010544396,0.37006846,0.987561712,0.006238604,TRUE,VegP,Average
L009,37.93745698,0.96057361,0.095128874,0.996429552,0.00178682,TRUE,VegP,Average
L010,40.29234229,0.71243107,0.493495064,0.96731197,0.016479807,TRUE,VegP,Stable
L011,40.59122147,0.947421516,1.636769682,0.940400964,0.030257269,TRUE,VegP,Average
L012,41.65335405,0.873075114,0.504390446,0.977519086,0.011304351,TRUE,VegP,Average
L013,38.60427919,1.061976646,0.195995955,0.993996189,0.003006425,TRUE,VegP,Average
L014,39.24739446,1.033248721,0.198021497,0.993594737,0.003207776,TRUE,VegP,Average
L015,36.45992171,0.878048947,0.700065467,0.969406292,0.015415676,TRUE,VegP,Average
L016,38.07336653,1.035203065,0.031140982,0.998991054,0.0005046,TRUE,VegP,Average
L017,38.03961991,1.143887457,0.074941069,0.99801338,0.000993804,TRUE,VegP,Average
L018,38.08925357,0.955456546,0.023438469,0.999108451,0.000445874,TRUE,VegP,Average
L019,39.51244573,0.919273672,0.429896362,0.982626486,0.008724818,TRUE,VegP,Average
L020,40.81128131,1.068184489,0.325745913,0.990175203,0.004924524,TRUE,VegP,Average
L021,38.1864402,0.890199124,0.267991258,0.98838293,0.005825503,TRUE,VegP,Average
L022,40.65267897,1.034498749,0.028306429,0.999081559,0.000459326,TRUE,VegP,Average
L023,38.64015528,1.050613662,0.110558274,0.996530867,0.001736074,TRUE,VegP,Average
L024,39.69724144,1.076333723,0.588619522,0.982647439,0.008714249,TRUE,VegP,Average
L025,39.22391977,1.096004826,0.062226393,0.998202812,0.000898998,TRUE,VegP,Average
L026,41.02492371,1.033812958,0.232712349,0.992489197,0.00376248,TRUE,VegP,Average
L027,37.98065082,0.932741028,0.193122844,0.992344054,0.003835328,TRUE,VegP,Average
L028,39.1056556,1.075044944,0.550174511,0.983724078,0.008171347,TRUE,VegP,Average
L029,38.72498558,0.905668141,0.958036418,0.960988978,0.019699547,TRUE,VegP,Average
L030,42.21481202,1.155382542,0.549227264,0.985901942,0.00707405,TRUE,VegP,Average
L031,36.54845289,1.021187446,0.703132267,0.977102334,0.011515132,TRUE,VegP,Average
L032,38.70254135,1.053702149,0.033047889,0.998966563,0.000516852,TRUE,VegP,Average
L033,39.77362558,0.943263949,0.496294015,0.980982265,0.009554512,TRUE,VegP,Average
L034,37.88688139,1.107484542,0.000223619,0.999993663,3.16829386741022e-06,TRUE,VegP,Average
L035,38.00152596,1.031698686,0.242854878,0.992132516,0.00394151,TRUE,VegP,Average
L036,38.37855805,0.953266047,0.022555429,0.999138067,0.000431059,TRUE,VegP,Average
L037,40.91372201,1.012851859,0.903822005,0.970289002,0.014967512,TRUE,VegP,Average
L038,40.08007568,1.126195325,0.078361384,0.997857266,0.001071941,TRUE,VegP,Average
L039,36.30414565,1.004654066,0.452774279,0.984648356,0.00770551,TRUE,VegP,Average
L040,39.000643,0.996752169,0.114052895,0.996026002,0.001988977,TRUE,VegP,Average
L041,38.79062904,1.013688288,0.102889426,0.996532007,0.001735503,TRUE,VegP,Average
L042,39.74377529,1.03354507,0.369807466,0.988110937,0.005962306,TRUE,VegP,Average
L043,38.32305981,0.980224321,0.13060339,0.99529801,0.002353765,TRUE,VegP,Average
L044,41.10924706,0.980332125,0.086757961,0.996872283,0.001565083,TRUE,VegP,Average
L045,38.06147044,1.043014577,0.157668114,0.994988058,0.002509119,TRUE,VegP,Average
L046,39.00687419,0.957771852,0.130840771,0.995067167,0.002469466,TRUE,VegP,Average
L047,37.92549885,1.042120847,0.146817868,0.995323381,0.00234105,TRUE,VegP,Average
L048,37.85837324,1.013461614,0.180037718,0.993944693,0.003032251,TRUE,VegP,Average
L049,40.62625336,0.969404629,0.230994361,0.991529251,0.004244382,TRUE,VegP,Average
L050,37.37397244,1.129102693,1.579072286,0.958727991,0.020853438,TRUE,VegP,Average
L051,38.24221458,1.010593462,0.022476214,0.999235701,0.000382222,TRUE,VegP,Average
L052,39.76453612,0.95128033,0.067312581,0.997421406,0.001290129,TRUE,VegP,Average
L053,38.65436015,1.042334783,0.243896096,0.992258232,0.003878405,TRUE,VegP,Average
L054,38.73681797,0.932279035,0.225360513,0.991068697,0.004475667,TRUE,VegP,Average
L055,38.63889903,1.128130966,0.25859304,0.9929876,0.003512368,TRUE,VegP,Average
L056,38.88149907,1.129221776,0.295927688,0.99199865,0.00400871,TRUE,VegP,Average
L057,38.25747561,0.918978489,0.232933381,0.990504831,0.004758908,TRUE,VegP,Average
L058,41.02949726,0.868782546,1.604549551,0.931198441,0.035013761,TRUE,VegP,Average
L059,39.77644299,0.894771064,0.262127682,0.988748768,0.005641529,TRUE,VegP,Average
L060,36.09117694,0.941879844,1.691584603,0.937847309,0.03157483,TRUE,VegP,Average
L061,39.24689301,0.994393659,0.01730083,0.999392269,0.000303912,TRUE,VegP,Average
L062,38.40727633,1.108803246,0.45920409,0.987184948,0.006428187,TRUE,VegP,Average
L063,37.33107917,1.06255774,0.391706681,0.988085508,0.005975097,TRUE,VegP,Average
L064,37.62813129,1.104426328,0.430330823,0.987886736,0.006075085,TRUE,VegP,Average
L065,38.22114123,1.02513537,0.038619929,0.998724385,0.000638011,TRUE,VegP,Average
L066,39.50107537,0.948199308,0.382332887,0.985435497,0.007308962,TRUE,VegP,Average
L067,37.00394293,0.950919401,0.457859669,0.98270607,0.008684677,TRUE,VegP,Average
L068,41.21574837,0.923229684,1.709390814,0.93483956,0.033128985,TRUE,VegP,Average
L069,38.07149844,0.875567767,0.347799975,0.984476824,0.007791945,TRUE,VegP,Average
L070,36.8225316,0.840128398,0.625729285,0.970108979,0.015058896,TRUE,VegP,Average
L071,41.2209036,0.926418604,1.00654881,0.960835341,0.019777913,TRUE,VegP,Average
L072,36.15111957,0.951263084,1.349413961,0.950725294,0.024948569,TRUE,VegP,Average
L073,35.99659384,0.969956035,2.143239576,0.926633203,0.03738211,TRUE,VegP,Average
L074,35.75220415,0.916454845,2.798502167,0.896213671,0.053314376,TRUE,VegP,Average
L075,36.41548663,1.065727751,0.898501332,0.973240894,0.013470277,TRUE,VegP,Average
L076,36.24756379,0.967680207,2.22934262,0.923579079,0.038969783,TRUE,VegP,Average
L077,36.71915032,0.893131076,0.492613825,0.978987467,0.010562045,TRUE,VegP,Average
L078,37.83163153,0.937569567,0.183291071,0.992805123,0.003603933,TRUE,VegP,Average
L079,38.78282792,1.124789984,0.268345118,0.992682106,0.003665665,TRUE,VegP,Average
L080,36.98899658,1.000033816,1.317508648,0.956216988,0.022136519,TRUE,VegP,Average
L081,38.32062474,0.938607174,0.605435294,0.976672194,0.011732732,TRUE,VegP,Average
L082,36.72218304,1.172460089,0.354525316,0.991116159,0.00445183,TRUE,VegP,Average
L083,37.73027836,0.981238025,0.11638568,0.995816352,0.002094016,TRUE,VegP,Average
L084,38.56570999,0.996539213,0.169372673,0.994107319,0.002950694,TRUE,VegP,Average
L085,37.30549782,1.054803532,0.011917037,0.999627875,0.00018608,TRUE,VegP,Average
L086,38.44655825,1.043156371,0.094864672,0.996979235,0.001511525,TRUE,VegP,Average
L087,37.33504214,1.008439386,0.01932094,0.999340117,0.000329996,TRUE,VegP,Average
L088,36.13227826,0.998291415,2.208796866,0.928478282,0.036424221,TRUE,VegP,Average
L089,38.6453452,0.960472435,0.500004111,0.981510557,0.009287853,TRUE,VegP,Average
L090,37.82258503,1.046162238,1.142809593,0.964979763,0.017666165,TRUE,VegP,Average
L091,36.95294022,1.00952504,0.136840459,0.995355025,0.002325191,TRUE,VegP,Average
L092,37.23719176,1.072101378,0.194536891,0.99415199,0.002928293,TRUE,VegP,Average
L093,39.9368927,0.962721486,0.260779076,0.990315658,0.004853952,TRUE,VegP,Average
L094,40.4720347,0.960106991,0.150456924,0.994359192,0.002824392,TRUE,VegP,Average
