"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L019",13.675,97,0.0319168326808576,58,155,0.0346762006594335,25,122,0.156926564048231,25,122,0.403154251729982,58,155,0.207116458067072,48,145,0.157472537198338,68,165,0.00826586665722735,68,165,0.0428972272022494,48,145,0.0359680372112364,26,123,0.359727143440948,51,148,0.265220832746029,61,158,0.0437675730737472,37,134,0.0543297083516529,26,123
"L020",13.8625,27,0.0172925207064043,39,66,0.00581324960494461,1,28,0.0263050087160405,1,28,0.227804621773339,21,48,0.131559582449908,19,46,0.131893794340976,56,83,0.0057986576618866,56,83,0.017307923734394,19,46,0.0135558444267853,2,29,0.142403308478948,7,34,0.156239586355203,23,50,0.017637424525451,2,29,0.018923818148888,2,29
"L021",13.8125,47.5,0.189950165660931,102,149.5,0.261031416724144,103,150.5,1.18231357303913,103,150.5,1.12711245046946,102,149.5,0.666068953166092,102,149.5,0.29416935826984,99,146.5,0.0288452037816298,99,146.5,0.443647850371773,102,149.5,0.261035988983604,103,150.5,1.27079393505956,102,149.5,0.612871923034293,97,144.5,0.199667498021066,102,149.5,0.306945349278377,102,149.5
"L022",13.8125,47.5,0.0223112942228861,48,95.5,0.078342617487821,63,110.5,0.354833396716545,63,110.5,0.372887549530536,54,101.5,0.215311676067572,51,98.5,0.109647301073928,41,88.5,0.00400751021093222,41,88.5,0.0463591178510272,51,98.5,0.0784481937112112,62,109.5,0.404916242924414,56,103.5,0.244199687755966,52,99.5,0.0671720124108141,60,107.5,0.0998391138344345,61,108.5
"L023",13.7,95,0.0709958218543338,84,179,0.164559263928983,88,183,0.745380465529985,88,183,0.703846423033855,88,183,0.406469373379082,88,183,0.188050525904526,76,171,0.0117876667643229,76,171,0.165217351495183,88,183,0.164918507281864,88,183,0.754127688880537,87,182,0.355697721427017,79,174,0.112521794202883,86,181,0.175569820461893,86,181
"L024",13.7375,79,0.0365975144854824,63,142,0.118724575453815,77,156,0.537763815824563,77,156,0.476041801260516,68,147,0.294432644461235,73,152,0.131064094375295,54,133,0.00572593227813878,54,133,0.0866905821244358,73,152,0.118866776311297,76,155,0.553488884258463,76,155,0.289011402240176,66,145,0.088630618623082,78,157,0.136102067216243,78,157
"L025",13.6375,104,0.222731988679421,103,207,0.244491952680325,101,205,1.10735997303749,101,205,1.15384642303385,103,207,0.677392059064744,103,207,0.347785164389313,102,206,0.0403181735231005,102,206,0.458860001683973,103,207,0.244824116761861,101,205,1.27397156110982,103,207,0.77199898724729,103,207,0.211158619263666,103,207,0.313284267728593,103,207
"L026",13.9815789473684,4,0.145137973471514,96,100,0.14648287986876,84,88,0.66335687159051,84,88,0.835800304002641,92,96,0.500106424919407,91,95,0.303424472371011,100,104,0.0306888034778755,100,104,0.25010643624567,91,95,0.146959288872692,84,88,0.931605371960793,90,94,0.620312106466089,98,102,0.147314102304825,91,95,0.209373204620289,90,94
"L027",13.8875,20.5,0.0351737698924732,62,82.5,0.120961051452929,80,100.5,0.54789212985928,80,100.5,0.477112450469462,69,89.5,0.295900349056649,74,94.5,0.121183550258235,48,68.5,0.00489515095106341,48,68.5,0.0875570165718467,74,94.5,0.120968714155847,80,100.5,0.564424454831857,77,97.5,0.254182801868153,59,79.5,0.0870232331545488,77,97.5,0.135681438016413,77,97.5
"L028",13.85,32.5,0.0152120164553667,35,67.5,0.04700280074759,37,69.5,0.212882001365384,37,69.5,0.295082927757197,39,71.5,0.155296352325073,34,66.5,0.106434613282353,40,72.5,0.00377610896818802,40,72.5,0.0241169570454733,34,66.5,0.0476537195367431,37,69.5,0.264902140989036,29,61.5,0.212115113770264,45,77.5,0.0471140070822234,41,73.5,0.0668104054744272,39,71.5
"L029",13.8125,47.5,0.0277555697245945,54,101.5,0.104768154288035,72,119.5,0.474549507344021,72,119.5,0.446153576966148,62,109.5,0.25798752493653,63,110.5,0.113144069464686,44,91.5,0.00426719348500987,44,91.5,0.0665575630228768,63,110.5,0.104886472605196,72,119.5,0.485339650641926,67,114.5,0.2465548898097,56,103.5,0.0768647182030502,66,113.5,0.118527576652055,71,118.5
"L030",13.9375,8,0.0583868200299748,78,86,0.110004430841748,75,83,0.498206684728396,75,83,0.546153576966144,76,84,0.332635311564401,80,88,0.184745248485736,73,81,0.0113769356126855,73,81,0.110646250499546,80,88,0.110193300570869,75,83,0.624659295402217,82,90,0.394796671852266,83,91,0.101812006769828,81,89,0.148317933019086,81,89
"L031",13.825,40.5,0.00759021350211498,12,52.5,0.0243519692058765,15,55.5,0.110237595696626,15,55.5,0.196845748270019,13,53.5,0.109320408356605,11,51.5,0.0701766109445112,14,54.5,0.00164158557455243,14,54.5,0.0119509516832549,11,51.5,0.0243533805589756,13,53.5,0.207942833923211,19,59.5,0.109783810174133,9,49.5,0.0251589376665516,11,51.5,0.0345879053658909,12,52.5
"L032",13.8375,36,0.0126740973724949,25,61,0.0383556299936137,28,64,0.173671522519397,28,64,0.246845748270019,30,66,0.145671991679188,29,65,0.0890233110453715,27,63,0.00264171663649365,27,63,0.0212203291597816,29,65,0.0383694636757069,28,64,0.276770082615438,35,71,0.158606551082413,29,65,0.0386429259590325,29,65,0.0546354406704075,27,63
"L033",13.8,55.5,0.0247040226225487,53,108.5,0.0899893286474547,69,124.5,0.407594324712883,69,124.5,0.401041801260518,57,112.5,0.23487668734902,59,114.5,0.110284563284507,42,97.5,0.00405422829961817,42,97.5,0.0551670582600494,59,114.5,0.0900513913229117,69,124.5,0.44460499119763,62,117.5,0.2469072912488,57,112.5,0.0726638166583009,63,118.5,0.109770644248367,66,121.5
"L034",13.775,65.5,0.0318002138764174,57,122.5,0.106182839773313,74,139.5,0.48095337267199,74,139.5,0.447887549530535,63,128.5,0.268753658702064,65,130.5,0.126401652800819,52,117.5,0.00532579261025964,52,117.5,0.0722285290657458,65,130.5,0.106371879869748,73,138.5,0.501756199898672,69,134.5,0.280970083521233,64,129.5,0.0822171105701143,72,137.5,0.124995251693944,73,138.5
"L035",13.65,102.5,0.0465437849384541,71,173.5,0.0754230625312059,60,162.5,0.341632209646889,60,162.5,0.503846423033859,71,173.5,0.256546533089727,62,164.5,0.19901439608675,81,183.5,0.013202243283258,81,183.5,0.0658161236403586,62,164.5,0.0774390556839629,61,163.5,0.389914645564635,54,156.5,0.311253223807952,72,174.5,0.067112148142943,58,160.5,0.0964993023805026,58,160.5
"L036",13.85,32.5,0.0187780969112635,44,76.5,0.00828238549370272,3,35.5,0.0374770124002889,3,35.5,0.197195378226659,14,46.5,0.138332501389684,21,53.5,0.136591207998386,58,90.5,0.00621905270081942,58,90.5,0.019135880940727,21,53.5,0.015014657892851,3,35.5,0.157953163480903,10,42.5,0.169996012247022,31,63.5,0.0197289163719892,6,38.5,0.0213135794959266,3,35.5
"L037",13.8625,27,0.0144249566824594,34,61,0.0350605674016706,26,53,0.158760165311102,26,53,0.246153576966146,26.5,53.5,0.145075607540836,27,54,0.104411670393585,38,65,0.0036339323047929,38,65,0.0210469319033426,27,54,0.0357105049427933,25,52,0.251556879593753,27,54,0.200858079095848,41,68,0.0405961145592128,31,58,0.0552890203029318,28,55
"L038",13.7125,90.5,0.0637163547225294,81,171.5,0.150001371040765,86,176.5,0.679439104105568,86,176.5,0.653846423033853,85,175.5,0.376882291215914,83,173.5,0.184653403896015,72,162.5,0.0113656265234617,72,162.5,0.142040261432157,83,173.5,0.15046065905095,86,176.5,0.691785619237899,85,175.5,0.362151277692578,81,171.5,0.107765650071905,85,175.5,0.165949855289382,83,173.5
"L039",13.75,74,0.00757180642072998,11,85,0.0594395707922737,42,116,0.26923480178301,42,116,0.203846423033857,18,92,0.141085667406362,22,96,0.0536945337308114,5,79,0.000961034317523079,5,79,0.0199051655474985,22,96,0.0594395777622645,41,115,0.269418733048934,30,104,0.0919282796809565,4,78,0.0375161601325554,28,102,0.0605064061728975,36,110
"L040",13.8,55.5,0.0065248467590543,9,64.5,0.0460535218866072,34,89.5,0.208592347350329,34,89.5,0.197887549530536,16,71.5,0.12064465097677,16,71.5,0.0565451214393848,9,64.5,0.00106578358619826,9,64.5,0.0145551318093067,16,71.5,0.0460770869581852,33,88.5,0.228842811636668,22,77.5,0.125523072685052,11,66.5,0.0372180870608199,26,81.5,0.0562501560533451,30,85.5
"L041",13.8,55.5,0.0523898740711726,73,128.5,0.0197214806039643,13,68.5,0.0892750569096934,13,68.5,0.397195378226661,55,110.5,0.23315909823141,58,113.5,0.227050092089206,87,142.5,0.0171839147725722,87,142.5,0.0543631650880843,58,113.5,0.0285683511201678,15,70.5,0.275835022992942,34,89.5,0.304645937212353,71,126.5,0.0410447748030064,34,89.5,0.048440349211658,24,79.5
"L042",13.7125,90.5,0.0440645104901905,70,160.5,0.134402495986119,82,172.5,0.608783559513208,82,172.5,0.553846423033856,78,168.5,0.327117185221081,77,167.5,0.142158503190458,60,150.5,0.00673634667645045,60,150.5,0.107005652866963,77,167.5,0.134583274588083,82,172.5,0.613458654461489,81,171.5,0.278479367492867,63,153.5,0.0914286347698139,79,169.5,0.143263175390473,80,170.5
"L043",13.725,84,0.031170799832419,55,139,0.0616810874104428,50,134,0.279350810686925,50,134,0.351041801260519,49,133,0.217807549325461,53,137,0.154030542585813,66,150,0.00790846934975996,66,150,0.0474401285431631,53,137,0.0626995016793474,50,134,0.369301085111928,53,137,0.302892664428427,70,154,0.064965077386078,57,141,0.0909766717489346,54,138
"L044",13.825,40.5,0.0130500545212664,27,67.5,0.0607866396509843,47,87.5,0.275323566351585,47,87.5,0.296153576966146,40,80.5,0.164387980214357,40,80.5,0.0852823719543964,23,63.5,0.00242436098872267,23,63.5,0.0270234080389559,40,80.5,0.0609394062983598,47,87.5,0.305090610283211,43,83.5,0.190965947961776,37,77.5,0.0515747818180633,46,86.5,0.0766808002688901,47,87.5
"L045",13.75,74,0.00765628085415355,13,87,0.0597695313080705,45,119,0.270729461292999,45,119,0.204917072242804,19,93,0.14184250205523,23,97,0.0540530511247778,6,80,0.000973910778632615,6,80,0.0201192953892878,23,97,0.0597710625851124,43,117,0.270769846324836,31,105,0.0924855882604492,5,79,0.0373801106326283,27,101,0.0603297910569483,35,109
"L046",13.825,37,0.0108520815501252,21,58,0.0165535422364624,8,45,0.0749692506432495,8,45,0.196153576966146,10,47,0.109003369456488,9,46,0.102300507392786,34,71,0.00348846460427382,34,71,0.0118817345528676,9,46,0.0189801353836863,7,44,0.136675090163435,6,43,0.148366600160794,20,57,0.0239256933239064,9,46,0.0308537108076713,10,47
"L047",13.6690789473684,99,0.13995375036215,93,192,0.05044053913317,39,138,0.228448134130166,39,138,0.640962516510179,83,182,0.384878409882957,84,183,0.371018784171695,103,202,0.0458849794027476,103,202,0.148131390394033,84,183,0.0609368735536575,46,145,0.454131925998282,63,162,0.504178595764205,93,192,0.0773872716345784,67,166,0.0983441765387124,60,159
"L048",13.8625,27,0.013816924562644,32,59,0.0296470273375695,20,47,0.134189584264619,19,46,0.246845748270018,29,56,0.145010372070721,26,53,0.0962024347407756,32,59,0.00308496948335106,32,59,0.0210280080080889,26,53,0.0297218666741361,19,46,0.27355352800351,33,60,0.158572026642196,28,55,0.032396615963745,21,48,0.0430527209612366,21,48
"L049",13.8625,27,0.0511418163245234,72,99,0.0133562680541339,4,31,0.0604979463849866,4,31,0.372195378226662,52,79,0.225349747784237,55,82,0.22782998917751,89,116,0.0173021679895414,89,116,0.0507825088264194,55,82,0.0252288078642621,14,41,0.233292204900542,23,50,0.245981557507678,55,82,0.0300539138397077,16,43,0.0350135396032204,13,40
"L050",13.775,65.5,0.00913448129105969,17,82.5,0.0604534969374385,46,111.5,0.273823246031036,46,111.5,0.247887549530537,31,96.5,0.149155800963286,33,98.5,0.0632004531463554,11,76.5,0.00133143242596822,11,76.5,0.0222474529609995,33,98.5,0.0604764117477657,45,110.5,0.283348869924397,37,102.5,0.138913803298596,15,80.5,0.0447456926426619,38,103.5,0.0691017153489827,40,105.5
"L051",13.8125,47.5,0.0367660435718347,64,111.5,0.0806587636791857,66,113.5,0.365276414850046,66,113.5,0.426041801260517,60,107.5,0.260275946129976,64,111.5,0.146126521546377,64,111.5,0.00711765343308121,64,111.5,0.067743568133854,64,111.5,0.0806612188166249,66,113.5,0.495746484008436,68,115.5,0.272284441667129,62,109.5,0.0741896044704531,64,111.5,0.108440241614665,64,111.5
"L052",13.8875,19,0.0203154463732815,46,65,0.0399146411341062,29,48,0.1807064797945,29,48,0.269041126496683,34,53,0.175753291055513,42,61,0.11875189414638,47,66,0.00470067078778437,47,66,0.0308892193168439,42,61,0.04024502644338,29,48,0.323066781281251,45,64,0.221235178087298,47,66,0.0455403800233996,40,59,0.0615808507234555,37,56
"L053",13.675,97,0.0232099917833312,51,148,0.0749964444533677,59,156,0.339696899100321,59,156,0.403846423033859,59,156,0.207450383135401,49,146,0.125010749795983,51,148,0.00520922918818459,51,148,0.0430356614630247,49,146,0.0756011461367859,58,155,0.361783079879346,52,149,0.244519837731176,53,150,0.0619419214329107,54,151,0.091876267695565,56,153
"L054",13.775,65.5,0.0714005557636983,85,150.5,0.118422248379757,76,141.5,0.536386928631604,76,141.5,0.595082927757197,80,145.5,0.349134485346886,81,146.5,0.227295565060338,88,153.5,0.0172210912986994,88,153.5,0.121894888858435,81,146.5,0.119757044773569,79,144.5,0.594514601273817,79,144.5,0.441917411068183,89,154.5,0.105146810432132,82,147.5,0.153203093543438,82,147.5
"L055",13.6625,100.5,0.104058023678574,90,190.5,0.208838961973848,94,194.5,0.945943896406448,94,194.5,0.853846423033858,93,193.5,0.507196827360209,92,192.5,0.213155558084896,84,184.5,0.0151450973141612,84,184.5,0.257248621684262,92,192.5,0.209002881130933,94,194.5,0.958324961120181,92,192.5,0.45204086125784,90,190.5,0.147700261516243,92,192.5,0.230000257686104,92,192.5
"L056",13.725,84,0.0586435728727634,79,163,0.163874151057858,87,171,0.742276691688782,87,171,0.603846423033856,82,166,0.390431670485182,86,170,0.151556026184349,65,149,0.00765640969093035,65,149,0.152436889317849,86,170,0.163899238957487,87,171,0.743991905281854,86,170,0.288964335350242,65,149,0.107351567492851,84,168,0.170946785776955,85,169
