"Lentil","PredictedMean","BLUP","Trait","ENV","grand_mean"
"L061",14.7074680210051,0.0272611791770423,"DTE","Clavet_2024",14.6802068418281
"L062",14.668782795443,-0.0114240463850592,"DTE","Clavet_2024",14.6802068418281
"L063",14.67322842303,-0.00697841879805949,"DTE","Clavet_2024",14.6802068418281
"L064",14.704753220465,0.02454637863692,"DTE","Clavet_2024",14.6802068418281
"L065",14.6772537198463,-0.00295312198171516,"DTE","Clavet_2024",14.6802068418281
"L066",14.6619883347898,-0.018218507038295,"DTE","Clavet_2024",14.6802068418281
"L067",14.6747922167113,-0.00541462511675661,"DTE","Clavet_2024",14.6802068418281
"L068",14.7145806174986,0.0343737756705131,"DTE","Clavet_2024",14.6802068418281
"L069",14.6666977337711,-0.0135091080569367,"DTE","Clavet_2024",14.6802068418281
"L070",14.6550042708372,-0.0252025709908992,"DTE","Clavet_2024",14.6802068418281
"L071",14.666577233967,-0.0136296078610698,"DTE","Clavet_2024",14.6802068418281
"L072",14.6921541843246,0.0119473424965157,"DTE","Clavet_2024",14.6802068418281
"L073",14.6713193367636,-0.00888750506450364,"DTE","Clavet_2024",14.6802068418281
"L074",14.6631521960524,-0.0170546457756693,"DTE","Clavet_2024",14.6802068418281
"L075",14.7431028762666,0.0628960344385199,"DTE","Clavet_2024",14.6802068418281
"L076",14.6558016861628,-0.0244051556652281,"DTE","Clavet_2024",14.6802068418281
"L077",14.6747315285491,-0.00547531327895356,"DTE","Clavet_2024",14.6802068418281
"L078",14.6726642659576,-0.00754257587050589,"DTE","Clavet_2024",14.6802068418281
"L079",14.6547193939169,-0.0254874479111749,"DTE","Clavet_2024",14.6802068418281
"L080",14.6658584476973,-0.0143483941307743,"DTE","Clavet_2024",14.6802068418281
"L081",14.654973055127,-0.0252337867010262,"DTE","Clavet_2024",14.6802068418281
"L082",14.6687190464023,-0.0114877954257153,"DTE","Clavet_2024",14.6802068418281
"L083",14.6596155841763,-0.0205912576517555,"DTE","Clavet_2024",14.6802068418281
"L084",14.6604191136208,-0.0197877282072909,"DTE","Clavet_2024",14.6802068418281
"L085",14.6514925776588,-0.0287142641692242,"DTE","Clavet_2024",14.6802068418281
"L086",14.6529915223657,-0.0272153194623179,"DTE","Clavet_2024",14.6802068418281
"L087",14.6715504205253,-0.00865642130273869,"DTE","Clavet_2024",14.6802068418281
"L088",14.6796841715163,-0.000522670311788431,"DTE","Clavet_2024",14.6802068418281
"L089",14.6380156976461,-0.042191144181956,"DTE","Clavet_2024",14.6802068418281
"L090",14.6588196282698,-0.0213872135582847,"DTE","Clavet_2024",14.6802068418281
"L091",14.7292987325997,0.0490918907716313,"DTE","Clavet_2024",14.6802068418281
"L092",14.6483557235071,-0.0318511183209758,"DTE","Clavet_2024",14.6802068418281
"L093",14.6726612452002,-0.00754559662782484,"DTE","Clavet_2024",14.6802068418281
"L094",14.7100271526536,0.0298203108255706,"DTE","Clavet_2024",14.6802068418281
"L095",14.6778151838684,-0.00239165795967722,"DTE","Clavet_2024",14.6802068418281
"L096",14.6689567775431,-0.0112500642849476,"DTE","Clavet_2024",14.6802068418281
"L097",14.6574986253132,-0.0227082165148431,"DTE","Clavet_2024",14.6802068418281
"L098",14.6756068367815,-0.00460000504658353,"DTE","Clavet_2024",14.6802068418281
"L099",14.658900071735,-0.0213067700930196,"DTE","Clavet_2024",14.6802068418281
"L100",14.769816076575,0.0896092347469057,"DTE","Clavet_2024",14.6802068418281
"CL1",52.2842504211109,-0.914143149646293,"DTF","Clavet_2024",53.1983935707572
"CL2",53.94847904113,0.750085470372845,"DTF","Clavet_2024",53.1983935707572
"CL3",54.5672584534053,1.36886488264815,"DTF","Clavet_2024",53.1983935707572
"Extra",52.1882596379107,-1.01013393284653,"DTF","Clavet_2024",53.1983935707572
"L001",55.8887488243176,2.6903552535604,"DTF","Clavet_2024",53.1983935707572
"L002",52.6982198633099,-0.500173707447246,"DTF","Clavet_2024",53.1983935707572
"L003",51.9058830331757,-1.29251053758146,"DTF","Clavet_2024",53.1983935707572
"L004",51.6737271915963,-1.52466637916088,"DTF","Clavet_2024",53.1983935707572
"L005",53.2358847712327,0.0374912004755572,"DTF","Clavet_2024",53.1983935707572
"L006",55.2610572211712,2.062663650414,"DTF","Clavet_2024",53.1983935707572
"L007",54.2457743669506,1.04738079619346,"DTF","Clavet_2024",53.1983935707572
"L008",52.979180237393,-0.219213333364181,"DTF","Clavet_2024",53.1983935707572
"L009",52.9349066043084,-0.26348696644876,"DTF","Clavet_2024",53.1983935707572
"L010",54.2963346640003,1.0979410932431,"DTF","Clavet_2024",53.1983935707572
"L011",54.3183219044875,1.11992833373034,"DTF","Clavet_2024",53.1983935707572
"L012",56.8171274202128,3.61873384945561,"DTF","Clavet_2024",53.1983935707572
"L013",53.3877096309989,0.189316060241751,"DTF","Clavet_2024",53.1983935707572
"L014",54.1931693050838,0.994775734326595,"DTF","Clavet_2024",53.1983935707572
"L015",52.2892340697437,-0.909159501013477,"DTF","Clavet_2024",53.1983935707572
"L016",52.5904929213704,-0.607900649386806,"DTF","Clavet_2024",53.1983935707572
"L017",52.458740647373,-0.739652923384192,"DTF","Clavet_2024",53.1983935707572
"L018",52.7341396089187,-0.464253961838523,"DTF","Clavet_2024",53.1983935707572
"L019",53.5751836833826,0.376790112625429,"DTF","Clavet_2024",53.1983935707572
"L020",55.1173859220523,1.91899235129515,"DTF","Clavet_2024",53.1983935707572
"L021",52.9848728717646,-0.213520698992589,"DTF","Clavet_2024",53.1983935707572
"L022",55.0497955321533,1.85140196139616,"DTF","Clavet_2024",53.1983935707572
"L023",53.2302138231289,0.0318202523717019,"DTF","Clavet_2024",53.1983935707572
"L024",53.5028999836482,0.30450641289098,"DTF","Clavet_2024",53.1983935707572
"L025",53.7020473460832,0.503653775326065,"DTF","Clavet_2024",53.1983935707572
"L026",55.1113717885411,1.91297821778389,"DTF","Clavet_2024",53.1983935707572
"L027",52.4578320056833,-0.740561565073847,"DTF","Clavet_2024",53.1983935707572
"L028",52.9315479679152,-0.266845602841947,"DTF","Clavet_2024",53.1983935707572
"L029",52.5359040910313,-0.662489479725899,"DTF","Clavet_2024",53.1983935707572
"L030",55.9829347926954,2.78454122193818,"DTF","Clavet_2024",53.1983935707572
"L031",51.7996863973289,-1.39870717342826,"DTF","Clavet_2024",53.1983935707572
"L032",53.111961977295,-0.0864315934621587,"DTF","Clavet_2024",53.1983935707572
"L033",53.8226550791828,0.624261508425597,"DTF","Clavet_2024",53.1983935707572
