Genotype,dev_year,cot_color,Hunter2024_DTE,Hunter2024_DTF,Hunter2024_VegP,Hunter2024_DTM,Hunter2024_RepP,Hunter2024_lodging,Hunter2024_YLD,Hunter2024_PRT,Clavet2024_DTE,Clavet2024_DTF,Clavet2024_VegP,Clavet2024_DTM,Clavet2024_RepP,Clavet2024_lodging,Clavet2024_YLD,Clavet2024_PRT,Clavet2025_DTE,Clavet2025_DTF,Clavet2025_VegP,Clavet2025_lodging,Clavet2025_YLD,Clavet2025_PRT,Clavet2025_DS,Hunter2025_DTE,Hunter2025_DTF,Hunter2025_VegP,Hunter2025_DTM,Hunter2025_RepP,Hunter2025_lodging,Hunter2025_YLD,Hunter2025_PRT,Hunter2025_DS
L025,2026,yellow,12.8346059,47.97528905,33.83868899,83.67979881,35.63756421,4.377722755,520.6558126,24.81034286,14.80386914,53.81902782,38.91421589,89.03773019,35.42367444,4.730271096,605.516035,24.35459121,10.69352988,56.11086371,45.5426999,3.568890304,1218.111654,22.92253109,1.471975581,15.94797237,54.42616007,38.68706298,93.51834241,38.77634375,4.183256604,1271.345981,22.95212922,1.237000455
L026,2025,red,12.84789295,50.29105234,36.16968616,81.79167585,31.56842498,3.641899973,523.5808333,25.0408057,14.73344881,55.31817209,40.58179367,87.5494065,32.47095237,2.610065595,560.8130836,25.02424598,11.55437004,58.79866604,47.17653844,1.741039806,1375.032339,24.27290563,1.438117206,15.99701098,56.1679053,40.23905487,94.4318942,38.26830556,2.663459192,1551.05516,23.99943137,1.237251705
L027,2026,red,12.67231564,46.92133522,33.11806517,78.99092308,31.91228085,3.465657224,520.334008,26.7666964,14.81861273,52.60701915,37.64935018,84.13197696,31.75737133,3.012342449,608.238117,26.0150605,11.35865272,54.62850143,43.21741267,2.482286075,1117.798594,23.9130857,1.691031876,16.02522119,54.0693457,38.05152147,92.10178609,37.90247452,2.966704285,1418.519069,25.32521121,1.288371226
L028,2025,red,12.77822399,47.72542781,33.7055141,80.56412957,32.86148461,4.413604204,486.5060886,26.32773335,14.74823048,53.08228874,38.30977002,86.3042525,33.37291382,4.293953347,525.4597938,25.55262282,11.17766577,56.46787603,45.3012517,3.603636992,1066.884578,23.36036642,1.842828195,16.03126468,55.22364146,39.19446743,92.42195388,37.23088265,3.828682991,1286.364712,25.03879844,1.225050917
L029,2026,red,12.6096339,48.62964467,34.94227983,78.93735878,30.32449882,3.318338404,575.9361657,24.82318477,14.75446958,52.71169026,37.93429788,84.84553616,32.35742486,3.760898465,669.415001,24.83958934,11.16682736,55.59179292,44.44063325,2.199707051,1170.86546,22.84393781,1.74823438,16.01782921,53.54264649,37.58594147,91.88553028,38.14875712,3.011057728,1388.017689,23.76940327,1.283712323
L030,2025,red,12.73701162,50.38255907,36.51661121,83.2320881,32.9160846,3.146716631,528.2160784,25.47691072,14.7446119,56.17879727,41.37835585,88.67022522,32.7172225,2.453830213,480.0558181,24.68866965,11.40336181,60.37406082,48.93259364,3.031277381,919.556463,22.21002757,1.846856954,16.04829876,58.22815315,42.14038996,95.26828755,37.25425162,3.167139007,1383.381142,23.42761997,1.2053134
L031,2026,red,12.79011454,44.74501344,30.82751457,78.74455729,33.99547387,3.347745423,574.6475878,25.7814735,14.76695389,51.98448378,37.17550542,85.16709925,33.36672744,2.536384144,644.6472361,25.71272517,11.08066238,52.86909092,41.80615024,2.654954702,1140.562649,24.07086265,1.84999865,16.00664741,52.44821197,36.52581279,93.15857582,40.22425689,2.749762338,1614.623765,26.09081306,1.170838985
L032,2026,yellow,12.85951454,47.49152631,33.44687367,81.16218213,33.57560189,4.366315605,450.8891645,23.30686026,14.75999943,53.26108181,38.47736252,85.59208444,32.5238112,4.114906768,626.511833,22.81622705,11.07261786,55.8037168,44.7364165,3.534028717,1019.36523,21.55505707,1.792601532,16.00747882,54.23335166,38.3097812,92.56663608,38.16661919,3.760063545,1125.277342,22.2229256,1.215872085
L033,2026,yellow,12.80975468,48.88594649,34.82224764,81.36949523,32.58030272,4.238982425,313.6972961,24.80912893,14.79294608,54.00131022,39.1040866,87.93130766,34.15749548,3.924885906,424.5980357,24.55357642,10.96005685,56.01637829,45.12439461,3.247436185,1193.783087,22.22857118,1.637926032,16.01861012,55.95293268,39.98551191,94.60340105,38.43903477,3.707595032,1448.965978,22.68989925,1.230851874
L034,2026,green,12.8550353,46.45773638,32.39980955,82.55075798,35.91490764,4.667813816,267.481791,24.8343089,14.75715091,52.66247821,37.86288725,87.8187828,35.32529549,4.734151716,383.7623014,24.69178382,10.99488025,55.09348838,44.17748184,3.292722811,975.2573237,23.29540438,1.303926026,15.97609741,53.01435834,37.17697974,95.15712033,41.48069672,3.720406198,930.0975858,23.54425566,1.133416312
L035,2026,red,12.72995593,46.67583254,32.75950441,80.20523762,33.61599689,3.124721505,609.8427791,25.09777904,14.75203321,52.32274502,37.52997191,84.82831782,32.73164459,2.398340739,722.5693088,24.707794,10.98836996,54.78518388,43.85437923,1.809853303,1333.73169,23.16393566,1.873452828,15.91843247,53.52701806,37.87736487,92.49270908,38.72468986,2.210709286,1618.670032,24.29709944,1.225663343
L036,2026,red,12.75801433,47.37577665,33.47260233,80.94001519,33.57889876,3.825122592,585.7465597,24.60102071,14.75412915,53.26028857,38.46518918,86.04465776,33.04658296,3.909988404,460.7195979,24.57534573,11.20862434,54.92734645,43.69345592,3.73809587,1058.901816,23.37671905,1.997763901,16.03937782,53.99484617,37.93953569,92.13024437,38.04516724,4.013412823,1194.20894,23.53354079,1.267031712
L037,2026,red,12.74430466,50.45163931,36.56769464,80.64551028,30.38360128,4.369884104,589.0118783,25.84432502,14.73483889,54.64830975,39.90191063,85.97571086,31.56647586,3.651515464,519.02673,25.68345377,11.13360819,58.34189361,47.22179628,3.461178249,1019.913429,24.1612177,1.793265779,16.03615991,56.1664903,40.13400375,94.22425388,38.20200393,3.511848069,1442.484953,24.82618912,1.217411019
L038,2026,yellow,12.86982447,48.59867438,34.49813817,82.38365412,33.77907873,4.613767931,318.6492913,25.14661717,14.76227644,54.54277332,39.74209211,88.34681448,34.11449816,4.493350139,414.6965058,24.69647734,10.88405541,57.33046504,46.52733991,4.062744951,1093.428833,23.41351834,1.428177307,15.9417496,55.39718708,39.66736911,94.08831154,38.55482457,4.165890387,1308.624751,23.92017065,1.247119578
L039,2026,red,12.74278593,44.83112149,30.98667897,80.02227256,35.18541369,2.912669584,598.6238127,27.16278487,14.76312125,51.87313602,37.08639197,86.12273719,34.41121772,2.06919332,679.471835,26.51835689,10.92138679,52.52594219,41.67315383,2.208622021,1105.785022,26.31142549,1.719205864,15.98996856,51.53138205,35.66223913,92.25865899,40.19959193,2.907887564,1296.838767,26.67854348,1.225040786
L040,2026,red,12.77169344,48.05973571,34.11095923,81.54297575,33.5408732,3.509078166,602.2786825,25.6686574,14.74977058,54.0122318,39.2328923,86.46925156,32.71543467,3.451052664,572.949845,25.72726981,11.06769786,55.76250257,44.68746009,2.29572738,1223.104703,23.97683673,1.639346281,15.9951759,53.97732224,38.08013692,92.7439487,38.63199232,2.655259032,1519.838531,24.54808669,1.201214146
L041,2026,red,12.72983082,47.86968346,33.90275708,81.10401918,33.27045757,3.242175337,535.2759858,25.69019995,14.75529708,53.54321741,38.73745391,86.49310329,33.1233749,2.092838832,554.5383705,25.20383762,11.04811362,55.71648791,44.722155,1.694657155,1322.696195,24.42754238,1.255333442,16.05676537,54.01346662,37.89745438,94.95700495,40.544741,2.158909982,1491.418439,24.62059745,1.167668288
L042,2026,yellow,12.84502571,49.14543298,34.99618097,83.15259745,34.06376108,3.906779337,537.962256,24.48939528,14.73519013,53.93199346,39.19545446,88.50373868,34.72420937,3.423118883,568.6727384,24.00285861,10.8962167,56.79815031,45.96197301,2.882664105,1268.669127,22.1540437,1.567813405,15.96473575,54.63938951,38.86314045,94.39795645,39.51108415,3.027498283,1656.872656,22.96400255,1.153670326
L043,2026,red,12.80306194,47.17495697,33.27500527,81.387577,34.23159388,3.860298432,600.0298537,25.09565654,14.74864313,53.51178738,38.73743547,87.25460985,33.94437877,2.680918616,720.3468704,24.71628083,11.04276749,54.75969024,43.74811528,2.324320813,1406.599778,23.61762927,1.554151639,16.02142316,53.61423807,37.64869542,92.60884998,38.74131139,2.925013741,1620.454032,24.05072345,1.202880612
